,TICKER,Company
0,MMM,3M Co.
1,ABT,Abbott Laboratories
2,ABBV,AbbVie
3,ANF,Abercrombie & Fitch Company A
4,ACE,ACE Limited
5,ACN,Accenture plc
6,ACT,Actavis Inc
7,ADBE,Adobe Systems Inc
8,ADT,ADT Corp
9,AMD,Advanced Micro Devices
10,AES,AES Corp
11,AET,Aetna Inc
12,AFL,AFLAC Inc
13,A,Agilent Technologies Inc
14,GAS,AGL Resources Inc.
15,APD,Air Products & Chemicals Inc
16,ARG,Airgas Inc
17,AKAM,Akamai Technologies Inc
18,AA,Alcoa Inc
19,ALXN,Alexion Pharmaceuticals
20,ATI,Allegheny Technologies Inc
21,AGN,Allergan Inc
22,ALL,Allstate Corp
23,ALTR,Altera Corp
24,MO,Altria Group Inc
25,AMZN,Amazon.com Inc
26,AEE,Ameren Corp
27,AEP,American Electric Power
28,AXP,American Express Co
29,AIG,American Intl Group Inc
30,AMT,American Tower Corp A
31,AMP,Ameriprise Financial
32,ABC,AmerisourceBergen Corp
33,AMGN,Amgen Inc
34,APH,Amphenol Corp A
35,APC,Anadarko Petroleum Corp
36,ADI,"Analog Devices, Inc."
37,AON,Aon plc
38,APA,Apache Corporation
39,AIV,Apartment Investment & Mgmt
40,FOXA,21st Century Fox
41,AAPL,Apple Inc.
42,AMAT,Applied Materials Inc
43,ADM,Archer-Daniels-Midland Co
44,AIZ,Assurant Inc
45,T,AT&T Inc
46,ADSK,Autodesk Inc
47,ADP,Automatic Data Processing
48,AN,AutoNation Inc
49,AZO,AutoZone Inc
50,AVB,"AvalonBay Communities, Inc."
51,AVY,Avery Dennison Corp
52,AVP,Avon Products
53,BHI,Baker Hughes Inc
54,BLL,Ball Corp
55,BAC,Bank of America Corp
56,BK,The Bank of New York Mellon Corp.
57,BCR,Bard (C.R.) Inc.
58,BAX,Baxter International Inc.
59,BBT,BB&T Corporation
60,BEAM,Beam Inc.
61,BDX,Becton Dickinson
62,BBBY,Bed Bath & Beyond
63,BMS,Bemis Company
64,BRK.B,Berkshire Hathaway
65,BBY,Best Buy Co. Inc.
66,BIIB,BIOGEN IDEC Inc.
67,BLK,BlackRock
68,HRB,Block H&R
69,BMC,BMC Software
70,BA,Boeing Company
71,BWA,BorgWarner
72,BXP,Boston Properties
73,BSX,Boston Scientific
74,BMY,Bristol-Myers Squibb
