,TICKER,Security
0,MMM,3M Company
1,ABT,Abbott Laboratories
2,ABBV,AbbVie
3,ACN,Accenture plc
4,ACE,ACE Limited
5,ACT,Actavis plc
6,ADBE,Adobe Systems Inc
7,ADT,ADT Corp
8,AES,AES Corp
9,AET,Aetna Inc
10,AFL,AFLAC Inc
11,AMG,Affiliated Managers Group Inc
12,A,Agilent Technologies Inc
13,GAS,AGL Resources Inc.
14,APD,Air Products & Chemicals Inc
15,ARG,Airgas Inc
16,AKAM,Akamai Technologies Inc
17,AA,Alcoa Inc
18,ALXN,Alexion Pharmaceuticals
19,ATI,Allegheny Technologies Inc
20,ALLE,Allegion
21,ADS,Alliance Data Systems
22,ALL,Allstate Corp
23,ALTR,Altera Corp
24,MO,Altria Group Inc
25,AMZN,Amazon.com Inc
26,AEE,Ameren Corp
27,AAL,American Airlines Group
28,AEP,American Electric Power
29,AXP,American Express Co
30,AIG,"American International Group, Inc."
31,AMT,American Tower Corp A
32,AMP,Ameriprise Financial
33,ABC,AmerisourceBergen Corp
34,AME,Ametek
35,AMGN,Amgen Inc
36,APH,Amphenol Corp A
37,APC,Anadarko Petroleum Corp
38,ADI,"Analog Devices, Inc."
39,AON,Aon plc
40,APA,Apache Corporation
41,AIV,Apartment Investment & Mgmt
42,AAPL,Apple Inc.
43,AMAT,Applied Materials Inc
44,ADM,Archer-Daniels-Midland Co
45,AIZ,Assurant Inc
46,T,AT&T Inc
47,ADSK,Autodesk Inc
48,ADP,Automatic Data Processing
49,AN,AutoNation Inc
50,AZO,AutoZone Inc
51,AVGO,Avago Technologies
52,AVB,"AvalonBay Communities, Inc."
53,AVY,Avery Dennison Corp
54,BHI,Baker Hughes Inc
55,BLL,Ball Corp
56,BAC,Bank of America Corp
57,BK,The Bank of New York Mellon Corp.
58,BCR,Bard (C.R.) Inc.
59,BAX,Baxter International Inc.
60,BBT,BB&T Corporation
61,BDX,Becton Dickinson
62,BBBY,Bed Bath & Beyond
63,BRK.B,Berkshire Hathaway
64,BBY,Best Buy Co. Inc.
65,BIIB,BIOGEN IDEC Inc.
66,BLK,BlackRock
67,HRB,Block H&R
68,BA,Boeing Company
69,BWA,BorgWarner
70,BXP,Boston Properties
71,BSX,Boston Scientific
72,BMY,Bristol-Myers Squibb
73,BRCM,Broadcom Corporation
74,BF.B,Brown-Forman Corporation
75,CHRW,C. H. Robinson Worldwide
76,CA,"CA, Inc."
77,CVC,Cablevision Systems Corp.
78,COG,Cabot Oil & Gas
79,CAM,Cameron International Corp.
80,CPB,Campbell Soup
81,COF,Capital One Financial
82,CAH,Cardinal Health Inc.
83,HSIC,Henry Schein
84,KMX,Carmax Inc
85,CCL,Carnival Corp.
86,CAT,Caterpillar Inc.
87,CBG,CBRE Group
88,CBS,CBS Corp.
89,CELG,Celgene Corp.
90,CNP,CenterPoint Energy
91,CTL,CenturyLink Inc
92,CERN,Cerner
93,CF,CF Industries Holdings Inc
94,SCHW,Charles Schwab Corporation
95,CHK,Chesapeake Energy
96,CVX,Chevron Corp.
97,CMG,Chipotle Mexican Grill
98,CB,Chubb Corp.
99,CI,CIGNA Corp.
100,XEC,Cimarex Energy
101,CINF,Cincinnati Financial
102,CTAS,Cintas Corporation
103,CSCO,Cisco Systems
104,C,Citigroup Inc.
105,CTXS,Citrix Systems
106,CLX,The Clorox Company
107,CME,CME Group Inc.
108,CMS,CMS Energy
109,COH,Coach Inc.
110,KO,The Coca Cola Company
111,CCE,Coca-Cola Enterprises
112,CTSH,Cognizant Technology Solutions
113,CL,Colgate-Palmolive
114,CMCSA,Comcast Corp.
115,CMA,Comerica Inc.
116,CSC,Computer Sciences Corp.
117,CAG,ConAgra Foods Inc.
118,COP,ConocoPhillips
119,CNX,CONSOL Energy Inc.
120,ED,Consolidated Edison
121,STZ,Constellation Brands
122,GLW,Corning Inc.
123,COST,Costco Co.
124,CCI,Crown Castle International Corp.
125,CSX,CSX Corp.
126,CMI,Cummins Inc.
127,CVS,CVS Caremark Corp.
128,DHI,D. R. Horton
129,DHR,Danaher Corp.
130,DRI,Darden Restaurants
131,DVA,DaVita Inc.
132,DE,Deere & Co.
133,DLPH,Delphi Automotive
134,DAL,Delta Air Lines
135,XRAY,Dentsply International
136,DVN,Devon Energy Corp.
137,DO,Diamond Offshore Drilling
138,DTV,DirecTV
139,DFS,Discover Financial Services
140,DISCA,Discovery Communications-A
141,DISCK,Discovery Communications-C
142,DG,Dollar General
143,DLTR,Dollar Tree
144,D,Dominion Resources
145,DOV,Dover Corp.
146,DOW,Dow Chemical
147,DPS,Dr Pepper Snapple Group
148,DTE,DTE Energy Co.
149,DD,Du Pont (E.I.)
150,DUK,Duke Energy
151,DNB,Dun & Bradstreet
152,ETFC,E*Trade
153,EMN,Eastman Chemical
154,ETN,Eaton Corporation
155,EBAY,eBay Inc.
156,ECL,Ecolab Inc.
157,EIX,Edison Int'l
158,EW,Edwards Lifesciences
159,EA,Electronic Arts
160,EMC,EMC Corp.
161,EMR,Emerson Electric Company
162,ENDP,Endo International
163,ESV,Ensco plc
164,ETR,Entergy Corp.
165,EOG,EOG Resources
166,EQT,EQT Corporation
167,EFX,Equifax Inc.
168,EQIX,Equinix
169,EQR,Equity Residential
170,ESS,Essex Property Trust Inc
171,EL,Estee Lauder Cos.
172,ES,Eversource Energy
173,EXC,Exelon Corp.
174,EXPE,Expedia Inc.
175,EXPD,Expeditors Int'l
176,ESRX,Express Scripts
177,XOM,Exxon Mobil Corp.
178,FFIV,F5 Networks
179,FB,Facebook
180,FDO,Family Dollar Stores
181,FAST,Fastenal Co
182,FDX,FedEx Corporation
183,FIS,Fidelity National Information Services
184,FITB,Fifth Third Bancorp
185,FSLR,First Solar Inc
186,FE,FirstEnergy Corp
187,FISV,Fiserv Inc
188,FLIR,FLIR Systems
189,FLS,Flowserve Corporation
190,FLR,Fluor Corp.
191,FMC,FMC Corporation
192,FTI,FMC Technologies Inc.
193,F,Ford Motor
194,FOSL,"Fossil, Inc."
195,BEN,Franklin Resources
196,FCX,Freeport-McMoran Cp & Gld
197,FTR,Frontier Communications
198,GME,GameStop Corp.
199,GCI,Gannett Co.
200,GPS,Gap (The)
201,GRMN,Garmin Ltd.
202,GD,General Dynamics
203,GE,General Electric
204,GGP,General Growth Properties Inc.
205,GIS,General Mills
206,GM,General Motors
207,GPC,Genuine Parts
208,GNW,Genworth Financial Inc.
209,GILD,Gilead Sciences
210,GS,Goldman Sachs Group
211,GT,Goodyear Tire & Rubber
212,GOOGL,Google Inc Class A
213,GOOG,Google Inc Class C
214,GWW,Grainger (W.W.) Inc.
215,HAL,Halliburton Co.
216,HBI,Hanesbrands Inc
217,HOG,Harley-Davidson
218,HAR,Harman Int'l Industries
219,HRS,Harris Corporation
220,HIG,Hartford Financial Svc.Gp.
221,HAS,Hasbro Inc.
222,HCA,HCA Holdings
223,HCP,HCP Inc.
224,HCN,"Health Care REIT, Inc."
225,HP,Helmerich & Payne
226,HES,Hess Corporation
227,HPQ,Hewlett-Packard
228,HD,Home Depot
229,HON,Honeywell Int'l Inc.
230,HRL,Hormel Foods Corp.
231,HSP,Hospira Inc.
232,HST,Host Hotels & Resorts
233,HCBK,Hudson City Bancorp
234,HUM,Humana Inc.
235,HBAN,Huntington Bancshares
236,ITW,Illinois Tool Works
237,IR,Ingersoll-Rand PLC
238,TEG,Integrys Energy Group Inc.
239,INTC,Intel Corp.
240,ICE,Intercontinental Exchange
241,IBM,International Bus. Machines
242,IP,International Paper
243,IPG,Interpublic Group
244,IFF,Intl Flavors & Fragrances
245,INTU,Intuit Inc.
246,ISRG,Intuitive Surgical Inc.
247,IVZ,Invesco Ltd.
248,IRM,Iron Mountain Incorporated
249,JEC,Jacobs Engineering Group
250,JNJ,Johnson & Johnson
251,JCI,Johnson Controls
252,JOY,Joy Global Inc.
253,JPM,JPMorgan Chase & Co.
254,JNPR,Juniper Networks
255,KSU,Kansas City Southern
256,K,Kellogg Co.
257,KEY,KeyCorp
258,GMCR,Keurig Green Mountain
259,KMB,Kimberly-Clark
260,KIM,Kimco Realty
261,KMI,Kinder Morgan
262,KLAC,KLA-Tencor Corp.
263,KSS,Kohl's Corp.
264,KRFT,Kraft Foods Group
265,KR,Kroger Co.
266,LB,L Brands Inc.
267,LLL,L-3 Communications Holdings
268,LH,Laboratory Corp. of America Holding
269,LRCX,Lam Research
270,LM,Legg Mason
271,LEG,Leggett & Platt
272,LEN,Lennar Corp.
273,LVLT,Level 3 Communications
274,LUK,Leucadia National Corp.
275,LLY,Lilly (Eli) & Co.
276,LNC,Lincoln National
277,LLTC,Linear Technology Corp.
278,LMT,Lockheed Martin Corp.
279,L,Loews Corp.
280,LO,Lorillard Inc.
281,LOW,Lowe's Cos.
282,LYB,LyondellBasell
283,MTB,M&T Bank Corp.
284,MAC,Macerich
285,M,Macy's Inc.
286,MNK,Mallinckrodt Plc
287,MRO,Marathon Oil Corp.
288,MPC,Marathon Petroleum
289,MAR,Marriott Int'l.
290,MMC,Marsh & McLennan
291,MLM,Martin Marietta Materials
292,MAS,Masco Corp.
293,MA,Mastercard Inc.
294,MAT,Mattel Inc.
295,MKC,McCormick & Co.
296,MCD,McDonald's Corp.
297,MHFI,McGraw Hill Financial
298,MCK,McKesson Corp.
299,MJN,Mead Johnson
300,MWV,MeadWestvaco Corporation
301,MDT,Medtronic Inc.
302,MRK,Merck & Co.
303,MET,MetLife Inc.
304,KORS,Michael Kors Holdings
305,MCHP,Microchip Technology
306,MU,Micron Technology
