,TICKER,Security
0,MMM,3M Company
1,ABT,Abbott Laboratories
2,ABBV,AbbVie Inc.
3,ACN,Accenture plc
4,ATVI,Activision Blizzard
5,AYI,Acuity Brands Inc
6,ADBE,Adobe Systems Inc
7,AMD,Advanced Micro Devices Inc
8,AAP,Advance Auto Parts
9,AES,AES Corp
10,AET,Aetna Inc
11,AMG,Affiliated Managers Group Inc
12,AFL,AFLAC Inc
13,A,Agilent Technologies Inc
14,APD,Air Products & Chemicals Inc
15,AKAM,Akamai Technologies Inc
16,ALK,Alaska Air Group Inc
17,ALB,Albemarle Corp
18,ARE,Alexandria Real Estate Equities Inc
19,ALXN,Alexion Pharmaceuticals
20,ALGN,Align Technology
21,ALLE,Allegion
22,AGN,"Allergan, Plc"
23,ADS,Alliance Data Systems
24,LNT,Alliant Energy Corp
25,ALL,Allstate Corp
26,GOOGL,Alphabet Inc Class A
27,GOOG,Alphabet Inc Class C
28,MO,Altria Group Inc
29,AMZN,Amazon.com Inc.
30,AEE,Ameren Corp
31,AAL,American Airlines Group
32,AEP,American Electric Power
33,AXP,American Express Co
34,AIG,"American International Group, Inc."
35,AMT,American Tower Corp A
36,AWK,American Water Works Company Inc
37,AMP,Ameriprise Financial
38,ABC,AmerisourceBergen Corp
39,AME,AMETEK Inc.
40,AMGN,Amgen Inc.
41,APH,Amphenol Corp
42,APC,Anadarko Petroleum Corp
43,ADI,"Analog Devices, Inc."
44,ANDV,Andeavor
45,ANSS,ANSYS
46,ANTM,Anthem Inc.
47,AON,Aon plc
48,AOS,A.O. Smith Corp
49,APA,Apache Corporation
50,AIV,Apartment Investment & Management
51,AAPL,Apple Inc.
52,AMAT,Applied Materials Inc.
53,APTV,Aptiv Plc
54,ADM,Archer-Daniels-Midland Co
55,ARNC,Arconic Inc.
56,AJG,Arthur J. Gallagher & Co.
57,AIZ,Assurant Inc.
58,T,AT&T Inc.
59,ADSK,Autodesk Inc.
60,ADP,Automatic Data Processing
61,AZO,AutoZone Inc
62,AVB,"AvalonBay Communities, Inc."
63,AVY,Avery Dennison Corp
64,BHGE,"Baker Hughes, a GE Company"
65,BLL,Ball Corp
66,BAC,Bank of America Corp
67,BK,The Bank of New York Mellon Corp.
68,BAX,Baxter International Inc.
69,BBT,BB&T Corporation
70,BDX,Becton Dickinson
71,BRK.B,Berkshire Hathaway
72,BBY,Best Buy Co. Inc.
73,BIIB,Biogen Inc.
74,BLK,BlackRock
75,HRB,Block H&R
76,BA,Boeing Company
77,BKNG,Booking Holdings Inc
78,BWA,BorgWarner
79,BXP,Boston Properties
80,BSX,Boston Scientific
81,BHF,Brighthouse Financial Inc
82,BMY,Bristol-Myers Squibb
83,AVGO,Broadcom
84,BF.B,Brown-Forman Corp.
85,CHRW,C. H. Robinson Worldwide
86,CA,"CA, Inc."
87,COG,Cabot Oil & Gas
88,CDNS,Cadence Design Systems
89,CPB,Campbell Soup
90,COF,Capital One Financial
91,CAH,Cardinal Health Inc.
92,KMX,Carmax Inc
93,CCL,Carnival Corp.
94,CAT,Caterpillar Inc.
95,CBOE,Cboe Global Markets
96,CBRE,CBRE Group
97,CBS,CBS Corp.
98,CELG,Celgene Corp.
99,CNC,Centene Corporation
100,CNP,CenterPoint Energy
101,CTL,CenturyLink Inc
102,CERN,Cerner
103,CF,CF Industries Holdings Inc
104,SCHW,Charles Schwab Corporation
105,CHTR,Charter Communications
106,CVX,Chevron Corp.
107,CMG,Chipotle Mexican Grill
108,CB,Chubb Limited
109,CHD,Church & Dwight
110,CI,CIGNA Corp.
111,XEC,Cimarex Energy
112,CINF,Cincinnati Financial
113,CTAS,Cintas Corporation
114,CSCO,Cisco Systems
115,C,Citigroup Inc.
116,CFG,Citizens Financial Group
117,CTXS,Citrix Systems
118,CLX,The Clorox Company
119,CME,CME Group Inc.
120,CMS,CMS Energy
121,KO,Coca-Cola Company (The)
122,CTSH,Cognizant Technology Solutions
123,CL,Colgate-Palmolive
124,CMCSA,Comcast Corp.
125,CMA,Comerica Inc.
126,CAG,Conagra Brands
127,CXO,Concho Resources
128,COP,ConocoPhillips
129,ED,Consolidated Edison
130,STZ,Constellation Brands
131,COO,The Cooper Companies
132,GLW,Corning Inc.
133,COST,Costco Wholesale Corp.
134,COTY,"Coty, Inc"
135,CCI,Crown Castle International Corp.
136,CSX,CSX Corp.
137,CMI,Cummins Inc.
138,CVS,CVS Health
139,DHI,D. R. Horton
140,DHR,Danaher Corp.
141,DRI,Darden Restaurants
142,DVA,DaVita Inc.
143,DE,Deere & Co.
144,DAL,Delta Air Lines Inc.
145,XRAY,Dentsply Sirona
146,DVN,Devon Energy Corp.
147,DLR,Digital Realty Trust Inc
148,DFS,Discover Financial Services
149,DISCA,Discovery Inc. Class A
150,DISCK,Discovery Inc. Class C
151,DISH,Dish Network
152,DG,Dollar General
153,DLTR,Dollar Tree
154,D,Dominion Energy
155,DOV,Dover Corp.
156,DWDP,DowDuPont
157,DPS,Dr Pepper Snapple Group
158,DTE,DTE Energy Co.
159,DRE,Duke Realty Corp
160,DUK,Duke Energy
161,DXC,DXC Technology
162,ETFC,E*Trade
163,EMN,Eastman Chemical
164,ETN,Eaton Corporation
165,EBAY,eBay Inc.
166,ECL,Ecolab Inc.
167,EIX,Edison Int'l
168,EW,Edwards Lifesciences
169,EA,Electronic Arts
170,EMR,Emerson Electric Company
171,ETR,Entergy Corp.
172,EVHC,Envision Healthcare
173,EOG,EOG Resources
174,EQT,EQT Corporation
175,EFX,Equifax Inc.
176,EQIX,Equinix
177,EQR,Equity Residential
178,ESS,"Essex Property Trust, Inc."
179,EL,Estee Lauder Cos.
180,ES,Eversource Energy
181,RE,Everest Re Group Ltd.
182,EXC,Exelon Corp.
183,EXPE,Expedia Inc.
184,EXPD,Expeditors International
185,ESRX,Express Scripts
186,EXR,Extra Space Storage
187,XOM,Exxon Mobil Corp.
188,FFIV,F5 Networks
189,FB,"Facebook, Inc."
190,FAST,Fastenal Co
191,FRT,Federal Realty Investment Trust
192,FDX,FedEx Corporation
193,FIS,Fidelity National Information Services
194,FITB,Fifth Third Bancorp
195,FE,FirstEnergy Corp
196,FISV,Fiserv Inc
197,FLIR,FLIR Systems
198,FLS,Flowserve Corporation
199,FLR,Fluor Corp.
200,FMC,FMC Corporation
201,FL,Foot Locker Inc
202,F,Ford Motor
203,FTV,Fortive Corp
204,FBHS,Fortune Brands Home & Security
205,BEN,Franklin Resources
206,FCX,Freeport-McMoRan Inc.
207,GPS,Gap Inc.
208,GRMN,Garmin Ltd.
209,IT,Gartner Inc
210,GD,General Dynamics
211,GE,General Electric
212,GGP,General Growth Properties Inc.
213,GIS,General Mills
214,GM,General Motors
215,GPC,Genuine Parts
216,GILD,Gilead Sciences
217,GPN,Global Payments Inc.
218,GS,Goldman Sachs Group
219,GT,Goodyear Tire & Rubber
220,GWW,Grainger (W.W.) Inc.
221,HAL,Halliburton Co.
222,HBI,Hanesbrands Inc
223,HOG,Harley-Davidson
224,HRS,Harris Corporation
225,HIG,Hartford Financial Svc.Gp.
226,HAS,Hasbro Inc.
227,HCA,HCA Holdings
228,HCP,HCP Inc.
229,HP,Helmerich & Payne
230,HSIC,Henry Schein
231,HSY,The Hershey Company
232,HES,Hess Corporation
233,HPE,Hewlett Packard Enterprise
234,HLT,Hilton Worldwide Holdings Inc
235,HOLX,Hologic
236,HD,Home Depot
237,HON,Honeywell Int'l Inc.
238,HRL,Hormel Foods Corp.
239,HST,Host Hotels & Resorts
240,HPQ,HP Inc.
241,HUM,Humana Inc.
242,HBAN,Huntington Bancshares
243,HII,Huntington Ingalls Industries
244,IDXX,IDEXX Laboratories
245,INFO,IHS Markit Ltd.
246,ITW,Illinois Tool Works
247,ILMN,Illumina Inc
248,IR,Ingersoll-Rand PLC
249,INTC,Intel Corp.
250,ICE,Intercontinental Exchange
251,IBM,International Business Machines
252,INCY,Incyte
253,IP,International Paper
254,IPG,Interpublic Group
255,IFF,Intl Flavors & Fragrances
256,INTU,Intuit Inc.
257,ISRG,Intuitive Surgical Inc.
258,IVZ,Invesco Ltd.
259,IPGP,IPG Photonics Corp.
260,IQV,IQVIA Holdings Inc.
261,IRM,Iron Mountain Incorporated
262,JEC,Jacobs Engineering Group
263,JBHT,J. B. Hunt Transport Services
264,SJM,JM Smucker
265,JNJ,Johnson & Johnson
266,JCI,Johnson Controls International
267,JPM,JPMorgan Chase & Co.
268,JNPR,Juniper Networks
269,KSU,Kansas City Southern
270,K,Kellogg Co.
271,KEY,KeyCorp
272,KMB,Kimberly-Clark
273,KIM,Kimco Realty
274,KMI,Kinder Morgan
275,KLAC,KLA-Tencor Corp.
276,KSS,Kohl's Corp.
277,KHC,Kraft Heinz Co
278,KR,Kroger Co.
279,LB,L Brands Inc.
280,LLL,L-3 Communications Holdings
281,LH,Laboratory Corp. of America Holding
282,LRCX,Lam Research
283,LEG,Leggett & Platt
284,LEN,Lennar Corp.
285,LUK,Leucadia National Corp.
286,LLY,Lilly (Eli) & Co.
287,LNC,Lincoln National
288,LKQ,LKQ Corporation
289,LMT,Lockheed Martin Corp.
290,L,Loews Corp.
291,LOW,Lowe's Cos.
292,LYB,LyondellBasell
293,MTB,M&T Bank Corp.
294,MAC,Macerich
295,M,Macy's Inc.
296,MRO,Marathon Oil Corp.
297,MPC,Marathon Petroleum
298,MAR,Marriott Int'l.
299,MMC,Marsh & McLennan
300,MLM,Martin Marietta Materials
301,MAS,Masco Corp.
302,MA,Mastercard Inc.
303,MAT,Mattel Inc.
