,TICKER,Security
0,MMM,3M Company
1,ABT,Abbott Laboratories
2,ABBV,AbbVie
3,ACN,Accenture plc
4,ATVI,Activision Blizzard
5,AYI,Acuity Brands Inc
6,ADBE,Adobe Systems Inc
7,AAP,Advance Auto Parts
8,AES,AES Corp
9,AET,Aetna Inc
10,AMG,Affiliated Managers Group Inc
11,AFL,AFLAC Inc
12,A,Agilent Technologies Inc
13,APD,Air Products & Chemicals Inc
14,AKAM,Akamai Technologies Inc
15,ALK,Alaska Air Group Inc
16,ALB,Albemarle Corp
17,AGN,"Allergan, Plc"
18,LNT,Alliant Energy Corp
19,ALXN,Alexion Pharmaceuticals
20,ALLE,Allegion
21,ADS,Alliance Data Systems
22,ALL,Allstate Corp
23,GOOGL,Alphabet Inc Class A
24,GOOG,Alphabet Inc Class C
25,MO,Altria Group Inc
26,AMZN,Amazon.com Inc
27,AEE,Ameren Corp
28,AAL,American Airlines Group
29,AEP,American Electric Power
30,AXP,American Express Co
31,AIG,"American International Group, Inc."
32,AMT,American Tower Corp A
33,AWK,American Water Works Company Inc
34,AMP,Ameriprise Financial
35,ABC,AmerisourceBergen Corp
36,AME,AMETEK Inc
37,AMGN,Amgen Inc
38,APH,Amphenol Corp
39,APC,Anadarko Petroleum Corp
40,ADI,"Analog Devices, Inc."
41,ANTM,Anthem Inc.
42,AON,Aon plc
43,APA,Apache Corporation
44,AIV,Apartment Investment & Mgmt
45,AAPL,Apple Inc.
46,AMAT,Applied Materials Inc
47,ADM,Archer-Daniels-Midland Co
48,ARNC,Arconic Inc
49,AJG,Arthur J. Gallagher & Co.
50,AIZ,Assurant Inc
51,T,AT&T Inc
52,ADSK,Autodesk Inc
53,ADP,Automatic Data Processing
54,AN,AutoNation Inc
55,AZO,AutoZone Inc
56,AVB,"AvalonBay Communities, Inc."
57,AVY,Avery Dennison Corp
58,BHI,Baker Hughes Inc
59,BLL,Ball Corp
60,BAC,Bank of America Corp
61,BK,The Bank of New York Mellon Corp.
62,BCR,Bard (C.R.) Inc.
63,BAX,Baxter International Inc.
64,BBT,BB&T Corporation
65,BDX,Becton Dickinson
66,BBBY,Bed Bath & Beyond
67,BRK-B,Berkshire Hathaway
68,BBY,Best Buy Co. Inc.
69,BIIB,BIOGEN IDEC Inc.
70,BLK,BlackRock
71,HRB,Block H&R
72,BA,Boeing Company
73,BWA,BorgWarner
74,BXP,Boston Properties
75,BSX,Boston Scientific
76,BMY,Bristol-Myers Squibb
77,AVGO,Broadcom
78,BF-B,Brown-Forman Corporation
79,CHRW,C. H. Robinson Worldwide
80,CA,"CA, Inc."
81,COG,Cabot Oil & Gas
82,CPB,Campbell Soup
83,COF,Capital One Financial
84,CAH,Cardinal Health Inc.
85,HSIC,Henry Schein
86,KMX,Carmax Inc
87,CCL,Carnival Corp.
88,CAT,Caterpillar Inc.
89,CBG,CBRE Group
90,CBS,CBS Corp.
91,CELG,Celgene Corp.
92,CNC,Centene Corporation
93,CNP,CenterPoint Energy
94,CTL,CenturyLink Inc
95,CERN,Cerner
96,CF,CF Industries Holdings Inc
97,SCHW,Charles Schwab Corporation
98,CHTR,Charter Communications
99,CHK,Chesapeake Energy
100,CVX,Chevron Corp.
101,CMG,Chipotle Mexican Grill
102,CB,Chubb Limited
103,CHD,Church & Dwight
104,CI,CIGNA Corp.
105,XEC,Cimarex Energy
106,CINF,Cincinnati Financial
107,CTAS,Cintas Corporation
108,CSCO,Cisco Systems
109,C,Citigroup Inc.
110,CFG,Citizens Financial Group
111,CTXS,Citrix Systems
112,CLX,The Clorox Company
113,CME,CME Group Inc.
114,CMS,CMS Energy
115,COH,Coach Inc.
116,KO,Coca Cola Company
117,CTSH,Cognizant Technology Solutions
118,CL,Colgate-Palmolive
119,CMCSA,Comcast A Corp
120,CMA,Comerica Inc.
121,CAG,ConAgra Foods Inc.
122,CXO,Concho Resources
123,COP,ConocoPhillips
124,ED,Consolidated Edison
125,STZ,Constellation Brands
126,GLW,Corning Inc.
127,COST,Costco Co.
128,COTY,"Coty, Inc"
129,CCI,Crown Castle International Corp.
130,CSRA,CSRA Inc.
131,CSX,CSX Corp.
132,CMI,Cummins Inc.
133,CVS,CVS Health
134,DHI,D. R. Horton
135,DHR,Danaher Corp.
136,DRI,Darden Restaurants
137,DVA,DaVita Inc.
138,DE,Deere & Co.
139,DLPH,Delphi Automotive
140,DAL,Delta Air Lines
141,XRAY,Dentsply Sirona
142,DVN,Devon Energy Corp.
143,DLR,Digital Realty Trust
144,DFS,Discover Financial Services
145,DISCA,Discovery Communications-A
146,DISCK,Discovery Communications-C
147,DG,Dollar General
148,DLTR,Dollar Tree
149,D,Dominion Resources
150,DOV,Dover Corp.
151,DOW,Dow Chemical
152,DPS,Dr Pepper Snapple Group
153,DTE,DTE Energy Co.
154,DD,Du Pont (E.I.)
155,DUK,Duke Energy
156,DNB,Dun & Bradstreet
157,ETFC,E*Trade
158,EMN,Eastman Chemical
159,ETN,Eaton Corporation
160,EBAY,eBay Inc.
161,ECL,Ecolab Inc.
162,EIX,Edison Int'l
163,EW,Edwards Lifesciences
164,EA,Electronic Arts
165,EMR,Emerson Electric Company
166,ENDP,Endo International
167,ETR,Entergy Corp.
168,EVHC,Envision Healthcare Corp
169,EOG,EOG Resources
170,EQT,EQT Corporation
171,EFX,Equifax Inc.
172,EQIX,Equinix
173,EQR,Equity Residential
174,ESS,"Essex Property Trust, Inc."
175,EL,Estee Lauder Cos.
176,ES,Eversource Energy
177,EXC,Exelon Corp.
178,EXPE,Expedia Inc.
179,EXPD,Expeditors Int'l
180,ESRX,Express Scripts
181,EXR,Extra Space Storage
182,XOM,Exxon Mobil Corp.
183,FFIV,F5 Networks
184,FB,Facebook
185,FAST,Fastenal Co
186,FRT,Federal Realty Investment Trust
187,FDX,FedEx Corporation
188,FIS,Fidelity National Information Services
189,FITB,Fifth Third Bancorp
190,FSLR,First Solar Inc
191,FE,FirstEnergy Corp
192,FISV,Fiserv Inc
193,FLIR,FLIR Systems
194,FLS,Flowserve Corporation
195,FLR,Fluor Corp.
196,FMC,FMC Corporation
197,FTI,FMC Technologies Inc.
198,FL,Foot Locker Inc
199,F,Ford Motor
200,FTV,Fortive Corp
201,FBHS,Fortune Brands Home & Security
202,BEN,Franklin Resources
203,FCX,Freeport-McMoran Cp & Gld
204,FTR,Frontier Communications
205,GPS,Gap (The)
206,GRMN,Garmin Ltd.
207,GD,General Dynamics
208,GE,General Electric
209,GGP,General Growth Properties Inc.
210,GIS,General Mills
211,GM,General Motors
212,GPC,Genuine Parts
213,GILD,Gilead Sciences
214,GPN,Global Payments Inc
215,GS,Goldman Sachs Group
216,GT,Goodyear Tire & Rubber
217,GWW,Grainger (W.W.) Inc.
218,HAL,Halliburton Co.
219,HBI,Hanesbrands Inc
220,HOG,Harley-Davidson
221,HAR,Harman Int'l Industries
222,HRS,Harris Corporation
223,HIG,Hartford Financial Svc.Gp.
224,HAS,Hasbro Inc.
225,HCA,HCA Holdings
226,HCP,HCP Inc.
227,HP,Helmerich & Payne
228,HES,Hess Corporation
229,HPE,Hewlett Packard Enterprise
230,HOLX,Hologic
231,HD,Home Depot
232,HON,Honeywell Int'l Inc.
233,HRL,Hormel Foods Corp.
234,HST,Host Hotels & Resorts
235,HPQ,HP Inc.
236,HUM,Humana Inc.
237,HBAN,Huntington Bancshares
238,IDXX,IDEXX Laboratories
239,ITW,Illinois Tool Works
240,ILMN,Illumina Inc
241,IR,Ingersoll-Rand PLC
242,INTC,Intel Corp.
243,ICE,Intercontinental Exchange
244,IBM,International Business Machines
245,IP,International Paper
246,IPG,Interpublic Group
247,IFF,Intl Flavors & Fragrances
248,INTU,Intuit Inc.
249,ISRG,Intuitive Surgical Inc.
250,IVZ,Invesco Ltd.
251,IRM,Iron Mountain Incorporated
252,JEC,Jacobs Engineering Group
253,JBHT,J. B. Hunt Transport Services
254,SJM,JM Smucker
255,JNJ,Johnson & Johnson
256,JCI,Johnson Controls International
257,JPM,JPMorgan Chase & Co.
258,JNPR,Juniper Networks
259,KSU,Kansas City Southern
260,K,Kellogg Co.
261,KEY,KeyCorp
262,KMB,Kimberly-Clark
263,KIM,Kimco Realty
264,KMI,Kinder Morgan
265,KLAC,KLA-Tencor Corp.
266,KSS,Kohl's Corp.
267,KHC,Kraft Heinz Co
268,KR,Kroger Co.
269,LB,L Brands Inc.
270,LLL,L-3 Communications Holdings
271,LH,Laboratory Corp. of America Holding
272,LRCX,Lam Research
273,LEG,Leggett & Platt
274,LEN,Lennar Corp.
275,LVLT,Level 3 Communications
276,LUK,Leucadia National Corp.
277,LLY,Lilly (Eli) & Co.
278,LNC,Lincoln National
279,LLTC,Linear Technology Corp.
280,LKQ,LKQ Corporation
281,LMT,Lockheed Martin Corp.
282,L,Loews Corp.
283,LOW,Lowe's Cos.
284,LYB,LyondellBasell
285,MAA,Mid-America Apartments
286,MTB,M&T Bank Corp.
287,MAC,Macerich
288,M,Macy's Inc.
289,MNK,Mallinckrodt Plc
290,MRO,Marathon Oil Corp.
291,MPC,Marathon Petroleum
292,MAR,Marriott Int'l.
293,MMC,Marsh & McLennan
294,MLM,Martin Marietta Materials
295,MAS,Masco Corp.
296,MA,Mastercard Inc.
297,MAT,Mattel Inc.
298,MKC,McCormick & Co.
299,MCD,McDonald's Corp.
300,MCK,McKesson Corp.
301,MJN,Mead Johnson
302,MDT,Medtronic plc
303,MRK,Merck & Co.
304,MET,MetLife Inc.
305,MTD,Mettler Toledo
306,KORS,Michael Kors Holdings
