,TICKER,Company
0,MMM,3M Co
1,ABT,Abbott Laboratories
2,ANF,Abercrombie & Fitch Company A
3,ADBE,Adobe Systems Inc
4,AMD,Advanced Micro Devices
5,AES,AES Corp
6,AET,Aetna Inc
7,AFL,AFLAC Inc
8,A,Agilent Technologies Inc
9,APD,Air Products & Chemicals Inc
10,ARG,Airgas Inc
11,AKS,AK Steel Hldg Corp
12,AKAM,Akamai Technologies Inc
13,AA,Alcoa Inc
14,AYE,Allegheny Energy Inc
15,ATI,Allegheny Technologies Inc
16,AGN,Allergan Inc
17,ALL,Allstate Corp
18,ALTR,Altera Corp
19,MO,Altria Group Inc
20,AMZN,Amazon.com Inc
21,AEE,Ameren Corp
22,AEP,American Electric Power
23,AXP,American Express Co
24,AIG,American Intl Group Inc
25,AMT,American Tower Corp A
26,AMP,Ameriprise Financial Inc
27,ABC,AmerisourceBergen Corp
28,AMGN,Amgen Inc
29,APH,Amphenol Corp A
30,APC,Anadarko Petroleum Corp
31,ADI,Analog Devices Inc
32,AON,Aon Corp
33,APA,Apache Corp
34,AIV,Apartment Investment & Mgmt
35,APOL,Apollo Group Inc
36,AAPL,Apple Inc.
37,AMAT,Applied Materials Inc
38,ADM,Archer-Daniels-Midland Co
39,AIZ,Assurant Inc
40,T,AT&T Inc
41,ADSK,Autodesk Inc
42,ADP,Automatic Data Processing
43,AN,AutoNation Inc
44,AZO,AutoZone Inc
45,AVB,AvalonBay Communities Inc
46,AVY,Avery Dennison Corp
47,AVP,Avon Products
48,BHI,Baker Hughes Inc
49,BLL,Ball Corp
50,BAC,Bank of America Corp
51,BK,The Bank of New York Mellon Corp.
52,BCR,Bard (C.R.) Inc.
53,BAX,Baxter International Inc.
54,BBT,BB&T Corporation
55,BDX,Becton Dickinson
56,BBBY,Bed Bath & Beyond
57,BMS,Bemis Company
58,BRK.B,Berkshire Hathaway
59,BBY,Best Buy Co. Inc.
60,BIG,Big Lots Inc.
61,BIIB,BIOGEN IDEC Inc.
62,HRB,Block H&R
63,BMC,BMC Software
64,BA,Boeing Company
65,BXP,Boston Properties
66,BSX,Boston Scientific
67,BMY,Bristol-Myers Squibb
68,BRCM,Broadcom Corporation
69,BF.B,Brown-Forman Corporation
70,CHRW,C. H. Robinson Worldwide
71,CA,"CA, Inc."
72,COG,Cabot Oil & Gas
