,TICKER,Security
0,MMM,3M Company
1,ABT,Abbott Laboratories
2,ABBV,AbbVie
3,ACN,Accenture plc
4,ATVI,Activision Blizzard
5,AYI,Acuity Brands Inc
6,ADBE,Adobe Systems Inc
7,AAP,Advance Auto Parts
8,AES,AES Corp
9,AET,Aetna Inc
10,AFL,AFLAC Inc
11,AMG,Affiliated Managers Group Inc
12,A,Agilent Technologies Inc
13,APD,Air Products & Chemicals Inc
14,AKAM,Akamai Technologies Inc
15,ALK,Alaska Air Group Inc
16,ALB,Albemarle Corp
17,AA,Alcoa Inc
18,AGN,Allergan plc
19,LNT,Alliant Energy Corp
20,ALXN,Alexion Pharmaceuticals
21,ALLE,Allegion
22,ADS,Alliance Data Systems
23,ALL,Allstate Corp
24,GOOGL,Alphabet Inc Class A
25,GOOG,Alphabet Inc Class C
26,MO,Altria Group Inc
27,AMZN,Amazon.com Inc
28,AEE,Ameren Corp
29,AAL,American Airlines Group
30,AEP,American Electric Power
31,AXP,American Express Co
32,AIG,"American International Group, Inc."
33,AMT,American Tower Corp A
34,AWK,American Water Works Company Inc
35,AMP,Ameriprise Financial
36,ABC,AmerisourceBergen Corp
37,AME,Ametek
38,AMGN,Amgen Inc
39,APH,Amphenol Corp A
40,APC,Anadarko Petroleum Corp
41,ADI,"Analog Devices, Inc."
42,AON,Aon plc
43,APA,Apache Corporation
44,AIV,Apartment Investment & Mgmt
45,AAPL,Apple Inc.
46,AMAT,Applied Materials Inc
47,ADM,Archer-Daniels-Midland Co
48,AJG,Arthur J. Gallagher & Co.
49,AIZ,Assurant Inc
50,T,AT&T Inc
51,ADSK,Autodesk Inc
52,ADP,Automatic Data Processing
53,AN,AutoNation Inc
54,AZO,AutoZone Inc
55,AVGO,Avago Technologies
56,AVB,"AvalonBay Communities, Inc."
57,AVY,Avery Dennison Corp
58,BHI,Baker Hughes Inc
59,BLL,Ball Corp
60,BAC,Bank of America Corp
61,BK,The Bank of New York Mellon Corp.
62,BCR,Bard (C.R.) Inc.
63,BAX,Baxter International Inc.
64,BBT,BB&T Corporation
65,BDX,Becton Dickinson
66,BBBY,Bed Bath & Beyond
67,BRK-B,Berkshire Hathaway
68,BBY,Best Buy Co. Inc.
69,BIIB,BIOGEN IDEC Inc.
70,BLK,BlackRock
71,HRB,Block H&R
72,BA,Boeing Company
73,BWA,BorgWarner
74,BXP,Boston Properties
75,BSX,Boston Scientific
76,BMY,Bristol-Myers Squibb
77,BF-B,Brown-Forman Corporation
78,CHRW,C. H. Robinson Worldwide
79,CA,"CA, Inc."
80,COG,Cabot Oil & Gas
81,CPB,Campbell Soup
82,COF,Capital One Financial
83,CAH,Cardinal Health Inc.
84,HSIC,Henry Schein
85,KMX,Carmax Inc
86,CCL,Carnival Corp.
87,CAT,Caterpillar Inc.
88,CBG,CBRE Group
89,CBS,CBS Corp.
90,CELG,Celgene Corp.
91,CNC,Centene Corporation
92,CNP,CenterPoint Energy
93,CTL,CenturyLink Inc
94,CERN,Cerner
95,CF,CF Industries Holdings Inc
96,SCHW,Charles Schwab Corporation
97,CHK,Chesapeake Energy
98,CVX,Chevron Corp.
99,CMG,Chipotle Mexican Grill
100,CB,Chubb Limited
101,CHD,Church & Dwight
102,CI,CIGNA Corp.
103,XEC,Cimarex Energy
104,CINF,Cincinnati Financial
105,CTAS,Cintas Corporation
106,CSCO,Cisco Systems
107,C,Citigroup Inc.
108,CTXS,Citrix Systems
109,CLX,The Clorox Company
110,CME,CME Group Inc.
111,CMS,CMS Energy
112,COH,Coach Inc.
113,KO,The Coca Cola Company
114,CTSH,Cognizant Technology Solutions
115,CL,Colgate-Palmolive
116,CMCSA,Comcast A Corp
117,CMA,Comerica Inc.
118,CAG,ConAgra Foods Inc.
119,CXO,Concho Resources
120,COP,ConocoPhillips
121,ED,Consolidated Edison
122,STZ,Constellation Brands
123,GLW,Corning Inc.
124,COST,Costco Co.
125,CCI,Crown Castle International Corp.
126,CSRA,CSRA Inc.
127,CSX,CSX Corp.
128,CMI,Cummins Inc.
129,CVS,CVS Health
130,DHI,D. R. Horton
131,DHR,Danaher Corp.
132,DRI,Darden Restaurants
133,DVA,DaVita Inc.
134,DE,Deere & Co.
135,DLPH,Delphi Automotive
136,DAL,Delta Air Lines
137,XRAY,Dentsply Sirona
138,DVN,Devon Energy Corp.
139,DO,Diamond Offshore Drilling
140,DLR,Digital Realty Trust
141,DFS,Discover Financial Services
142,DISCA,Discovery Communications-A
143,DISCK,Discovery Communications-C
144,DG,Dollar General
145,DLTR,Dollar Tree
146,D,Dominion Resources
147,DOV,Dover Corp.
148,DOW,Dow Chemical
149,DPS,Dr Pepper Snapple Group
150,DTE,DTE Energy Co.
151,DD,Du Pont (E.I.)
152,DUK,Duke Energy
153,DNB,Dun & Bradstreet
154,ETFC,E*Trade
155,EMN,Eastman Chemical
156,ETN,Eaton Corporation
157,EBAY,eBay Inc.
158,ECL,Ecolab Inc.
159,EIX,Edison Int'l
160,EW,Edwards Lifesciences
161,EA,Electronic Arts
162,EMC,EMC Corp.
163,EMR,Emerson Electric Company
164,ENDP,Endo International
165,ETR,Entergy Corp.
166,EOG,EOG Resources
167,EQT,EQT Corporation
168,EFX,Equifax Inc.
169,EQIX,Equinix
170,EQR,Equity Residential
171,ESS,Essex Property Trust Inc
172,EL,Estee Lauder Cos.
173,ES,Eversource Energy
174,EXC,Exelon Corp.
175,EXPE,Expedia Inc.
176,EXPD,Expeditors Int'l
177,ESRX,Express Scripts
178,EXR,Extra Space Storage
179,XOM,Exxon Mobil Corp.
180,FFIV,F5 Networks
181,FB,Facebook
182,FAST,Fastenal Co
183,FRT,Federal Realty Investment Trust
184,FDX,FedEx Corporation
185,FIS,Fidelity National Information Services
186,FITB,Fifth Third Bancorp
187,FSLR,First Solar Inc
188,FE,FirstEnergy Corp
189,FISV,Fiserv Inc
190,FLIR,FLIR Systems
191,FLS,Flowserve Corporation
192,FLR,Fluor Corp.
193,FMC,FMC Corporation
194,FTI,FMC Technologies Inc.
195,FL,Foot Locker Inc
196,F,Ford Motor
197,FTV,Fortive Corp
198,FBHS,Fortune Brands Home & Security
199,BEN,Franklin Resources
200,FCX,Freeport-McMoran Cp & Gld
201,FTR,Frontier Communications
202,GPS,Gap (The)
203,GRMN,Garmin Ltd.
204,GD,General Dynamics
205,GE,General Electric
206,GGP,General Growth Properties Inc.
207,GIS,General Mills
208,GM,General Motors
209,GPC,Genuine Parts
210,GILD,Gilead Sciences
211,GPN,Global Payments Inc
212,GS,Goldman Sachs Group
213,GT,Goodyear Tire & Rubber
214,GWW,Grainger (W.W.) Inc.
215,HAL,Halliburton Co.
216,HBI,Hanesbrands Inc
217,HOG,Harley-Davidson
218,HAR,Harman Int'l Industries
219,HRS,Harris Corporation
220,HIG,Hartford Financial Svc.Gp.
221,HAS,Hasbro Inc.
222,HCA,HCA Holdings
223,HCP,HCP Inc.
224,HP,Helmerich & Payne
225,HES,Hess Corporation
226,HPE,Hewlett Packard Enterprise
227,HOLX,Hologic
228,HD,Home Depot
229,HON,Honeywell Int'l Inc.
230,HRL,Hormel Foods Corp.
231,HST,Host Hotels & Resorts
232,HPQ,HP Inc.
233,HUM,Humana Inc.
234,HBAN,Huntington Bancshares
235,ITW,Illinois Tool Works
236,ILMN,Illumina Inc
237,IR,Ingersoll-Rand PLC
238,INTC,Intel Corp.
239,ICE,Intercontinental Exchange
240,IBM,International Bus. Machines
241,IP,International Paper
242,IPG,Interpublic Group
243,IFF,Intl Flavors & Fragrances
244,INTU,Intuit Inc.
245,ISRG,Intuitive Surgical Inc.
246,IVZ,Invesco Ltd.
247,IRM,Iron Mountain Incorporated
248,JEC,Jacobs Engineering Group
249,JBHT,J. B. Hunt Transport Services
250,JNJ,Johnson & Johnson
251,JCI,Johnson Controls
252,JPM,JPMorgan Chase & Co.
253,JNPR,Juniper Networks
254,KSU,Kansas City Southern
255,K,Kellogg Co.
256,KEY,KeyCorp
257,KMB,Kimberly-Clark
258,KIM,Kimco Realty
259,KMI,Kinder Morgan
260,KLAC,KLA-Tencor Corp.
261,KSS,Kohl's Corp.
262,KHC,Kraft Heinz Co
263,KR,Kroger Co.
264,LB,L Brands Inc.
265,LLL,L-3 Communications Holdings
266,LH,Laboratory Corp. of America Holding
267,LRCX,Lam Research
268,LM,Legg Mason
269,LEG,Leggett & Platt
270,LEN,Lennar Corp.
271,LVLT,Level 3 Communications
272,LUK,Leucadia National Corp.
273,LLY,Lilly (Eli) & Co.
274,LNC,Lincoln National
275,LLTC,Linear Technology Corp.
276,LKQ,LKQ Corporation
277,LMT,Lockheed Martin Corp.
278,L,Loews Corp.
279,LOW,Lowe's Cos.
280,LYB,LyondellBasell
281,MTB,M&T Bank Corp.
282,MAC,Macerich
283,M,Macy's Inc.
284,MNK,Mallinckrodt Plc
285,MRO,Marathon Oil Corp.
286,MPC,Marathon Petroleum
287,MAR,Marriott Int'l.
288,MMC,Marsh & McLennan
289,MLM,Martin Marietta Materials
290,MAS,Masco Corp.
291,MA,Mastercard Inc.
292,MAT,Mattel Inc.
293,MKC,McCormick & Co.
294,MCD,McDonald's Corp.
295,MCK,McKesson Corp.
296,MJN,Mead Johnson
297,WRK,Westrock Co
298,MDT,Medtronic plc
299,MRK,Merck & Co.
300,MET,MetLife Inc.
301,KORS,Michael Kors Holdings
302,MCHP,Microchip Technology
303,MU,Micron Technology
304,MSFT,Microsoft Corp.
305,MHK,Mohawk Industries
306,TAP,Molson Coors Brewing Company
307,MDLZ,Mondelez International
