,TICKER,Company
0,MMM,3M Co.
1,ACE,ACE Limited
2,ABT,Abbott Laboratories
3,ANF,Abercrombie & Fitch Company A
4,ACN,Accenture
5,ADBE,Adobe Systems Inc
6,AMD,Advanced Micro Devices
7,AES,AES Corp
8,AET,Aetna Inc
9,AFL,AFLAC Inc
10,A,Agilent Technologies Inc
11,GAS,AGL Resources Inc.
12,APD,Air Products & Chemicals Inc
13,ARG,Airgas Inc
14,AKAM,Akamai Technologies Inc
15,AA,Alcoa Inc
16,ALXN,Alexion Pharmaceuticals
17,ATI,Allegheny Technologies Inc
18,AGN,Allergan Inc
19,ALL,Allstate Corp
20,ANR,Alpha Natural Resources
21,ALTR,Altera Corp
22,MO,Altria Group Inc
23,AMZN,Amazon.com Inc
24,AEE,Ameren Corp
25,AEP,American Electric Power
26,AXP,American Express Co
27,AIG,American Intl Group Inc
28,AMT,American Tower Corp A
29,AMP,Ameriprise Financial
30,ABC,AmerisourceBergen Corp
31,AMGN,Amgen Inc
32,APH,Amphenol Corp A
33,APC,Anadarko Petroleum Corp
34,ADI,Analog Devices Inc
35,AON,Aon plc
36,APA,Apache Corporation
37,AIV,Apartment Investment & Mgmt
38,APOL,Apollo Group Inc
39,AAPL,Apple Inc.
40,AMAT,Applied Materials Inc
41,ADM,Archer-Daniels-Midland Co
42,AIZ,Assurant Inc
43,T,AT&T Inc
44,ADSK,Autodesk Inc
45,ADP,Automatic Data Processing
46,AN,AutoNation Inc
47,AZO,AutoZone Inc
48,AVB,"AvalonBay Communities, Inc."
49,AVY,Avery Dennison Corp
50,AVP,Avon Products
51,BHI,Baker Hughes Inc
52,BLL,Ball Corp
53,BAC,Bank of America Corp
54,BK,The Bank of New York Mellon Corp.
55,BCR,Bard (C.R.) Inc.
56,BAX,Baxter International Inc.
57,BBT,BB&T Corporation
58,BEAM,Beam Inc.
59,BDX,Becton Dickinson
60,BBBY,Bed Bath & Beyond
61,BMS,Bemis Company
62,BRK.B,Berkshire Hathaway
63,BBY,Best Buy Co. Inc.
64,BIG,Big Lots Inc.
65,BIIB,BIOGEN IDEC Inc.
66,BLK,BlackRock
67,HRB,Block H&R
68,BMC,BMC Software
69,BA,Boeing Company
70,BWA,BorgWarner
71,BXP,Boston Properties
72,BSX,Boston Scientific
73,BMY,Bristol-Myers Squibb
74,BRCM,Broadcom Corporation
75,BFB,Brown-Forman Corporation
76,CHRW,C. H. Robinson Worldwide
77,CA,"CA, Inc."
78,CVC,Cablevision Systems Corp.
79,COG,Cabot Oil & Gas
80,CAM,Cameron International Corp.
81,CPB,Campbell Soup
82,COF,Capital One Financial
83,CAH,Cardinal Health Inc.
84,CFN,Carefusion
85,KMX,Carmax Inc
86,CCL,Carnival Corp.
87,CAT,Caterpillar Inc.
88,CBG,CBRE Group
89,CBS,CBS Corp.
90,CELG,Celgene Corp.
91,CNP,CenterPoint Energy
92,CTL,CenturyLink Inc
93,CERN,Cerner
94,CF,CF Industries Holdings Inc
95,SCHW,Charles Schwab
96,CHK,Chesapeake Energy
97,CVX,Chevron Corp.
98,CMG,Chipotle Mexican Grill
99,CB,Chubb Corp.
100,CI,CIGNA Corp.
101,CINF,Cincinnati Financial
102,CTAS,Cintas Corporation
103,CSCO,Cisco Systems
104,C,Citigroup Inc.
105,CTXS,Citrix Systems
106,CLF,Cliffs Natural Resources
107,CLX,Clorox Co.
108,CME,CME Group Inc.
109,CMS,CMS Energy
110,COH,Coach Inc.
111,KO,Coca Cola Co.
112,CCE,Coca-Cola Enterprises
113,CTSH,Cognizant Technology Solutions
114,CL,Colgate-Palmolive
115,CMCSA,Comcast Corp.
116,CMA,Comerica Inc.
117,CSC,Computer Sciences Corp.
118,CAG,ConAgra Foods Inc.
119,COP,ConocoPhillips
120,CNX,CONSOL Energy Inc.
121,ED,Consolidated Edison
122,STZ,Constellation Brands
123,CBE,Cooper Industries
124,GLW,Corning Inc.
125,COST,Costco Co.
126,CVH,Coventry Health Care Inc.
127,COV,Covidien plc
128,CCI,Crown Castle International Corp.
129,CSX,CSX Corp.
130,CMI,Cummins Inc.
131,CVS,CVS Caremark Corp.
132,DHI,D. R. Horton
133,DHR,Danaher Corp.
134,DRI,Darden Restaurants
135,DVA,DaVita Inc.
136,DF,Dean Foods
137,DE,Deere & Co.
138,DELL,Dell Inc.
139,DNR,Denbury Resources Inc.
140,XRAY,Dentsply International
141,DVN,Devon Energy Corp.
142,DV,"DeVry, Inc."
143,DO,Diamond Offshore Drilling
144,DTV,DirecTV
145,DFS,Discover Financial Services
146,DISCA,Discovery Communications
147,DLTR,Dollar Tree
148,D,Dominion Resources
149,RRD,Donnelley (R.R.) & Sons
150,DOV,Dover Corp.
151,DOW,Dow Chemical
152,DPS,Dr Pepper Snapple Group
153,DTE,DTE Energy Co.
154,DD,Du Pont (E.I.)
155,DUK,Duke Energy
156,DNB,Dun & Bradstreet
157,ETFC,E-Trade
158,EMN,Eastman Chemical
159,ETN,Eaton Corp.
160,EBAY,eBay Inc.
161,ECL,Ecolab Inc.
162,EIX,Edison Int'l
