,TICKER,Company
0,MMM,3M Co.
1,ABT,Abbott Laboratories
2,ABBV,AbbVie
3,ANF,Abercrombie & Fitch Company A
4,ACE,ACE Limited
5,ACN,Accenture
6,ADBE,Adobe Systems Inc
7,ADT,ADT Corp
8,AMD,Advanced Micro Devices
9,AES,AES Corp
10,AET,Aetna Inc
11,AFL,AFLAC Inc
12,A,Agilent Technologies Inc
13,GAS,AGL Resources Inc.
14,APD,Air Products & Chemicals Inc
15,ARG,Airgas Inc
16,AKAM,Akamai Technologies Inc
17,AA,Alcoa Inc
18,ALXN,Alexion Pharmaceuticals
19,ATI,Allegheny Technologies Inc
20,AGN,Allergan Inc
21,ALL,Allstate Corp
22,ALTR,Altera Corp
23,MO,Altria Group Inc
24,AMZN,Amazon.com Inc
25,AEE,Ameren Corp
26,AEP,American Electric Power
27,AXP,American Express Co
28,AIG,American Intl Group Inc
29,AMT,American Tower Corp A
30,AMP,Ameriprise Financial
31,ABC,AmerisourceBergen Corp
32,AMGN,Amgen Inc
33,APH,Amphenol Corp A
34,APC,Anadarko Petroleum Corp
35,ADI,Analog Devices Inc
36,AON,Aon plc
37,APA,Apache Corporation
38,AIV,Apartment Investment & Mgmt
39,APOL,Apollo Group Inc
40,AAPL,Apple Inc.
41,AMAT,Applied Materials Inc
42,ADM,Archer-Daniels-Midland Co
43,AIZ,Assurant Inc
44,T,AT&T Inc
45,ADSK,Autodesk Inc
46,ADP,Automatic Data Processing
47,AN,AutoNation Inc
48,AZO,AutoZone Inc
49,AVB,"AvalonBay Communities, Inc."
50,AVY,Avery Dennison Corp
51,AVP,Avon Products
52,BHI,Baker Hughes Inc
53,BLL,Ball Corp
54,BAC,Bank of America Corp
55,BK,The Bank of New York Mellon Corp.
56,BCR,Bard (C.R.) Inc.
57,BAX,Baxter International Inc.
58,BBT,BB&T Corporation
59,BEAM,Beam Inc.
60,BDX,Becton Dickinson
61,BBBY,Bed Bath & Beyond
62,BMS,Bemis Company
63,BRK.B,Berkshire Hathaway
64,BBY,Best Buy Co. Inc.
65,BIG,Big Lots Inc.
66,BIIB,BIOGEN IDEC Inc.
67,BLK,BlackRock
68,HRB,Block H&R
69,BMC,BMC Software
70,BA,Boeing Company
71,BWA,BorgWarner
72,BXP,Boston Properties
73,BSX,Boston Scientific
74,BMY,Bristol-Myers Squibb
