,TICKER,Company
0,MMM,3M Co.
1,ACE,ACE Limited
2,ABT,Abbott Laboratories
3,ANF,Abercrombie & Fitch Company A
4,ACN,Accenture
5,ADBE,Adobe Systems Inc
6,AMD,Advanced Micro Devices
7,AES,AES Corp
8,AET,Aetna Inc
9,AFL,AFLAC Inc
10,A,Agilent Technologies Inc
11,GAS,AGL Resources Inc.
12,APD,Air Products & Chemicals Inc
13,ARG,Airgas Inc
14,AKAM,Akamai Technologies Inc
15,AA,Alcoa Inc
16,ATI,Allegheny Technologies Inc
17,AGN,Allergan Inc
18,ALL,Allstate Corp
19,ALTR,Altera Corp
20,MO,Altria Group Inc
21,AMZN,Amazon.com Inc
22,AEE,Ameren Corp
23,AEP,American Electric Power
24,AXP,American Express Co
25,AIG,American Intl Group Inc
26,AMT,American Tower Corp A
27,AMP,Ameriprise Financial
28,ABC,AmerisourceBergen Corp
29,AMGN,Amgen Inc
30,APH,Amphenol Corp A
31,APC,Anadarko Petroleum Corp
32,ADI,Analog Devices Inc
33,AON,Aon Corporation
34,APA,Apache Corporation
35,AIV,Apartment Investment & Mgmt
36,APOL,Apollo Group Inc
37,AAPL,Apple Inc.
38,AMAT,Applied Materials Inc
39,ADM,Archer-Daniels-Midland Co
40,AIZ,Assurant Inc
41,T,AT&T Inc
42,ADSK,Autodesk Inc
43,ADP,Automatic Data Processing
44,AN,AutoNation Inc
45,AZO,AutoZone Inc
46,AVB,"AvalonBay Communities, Inc."
47,AVY,Avery Dennison Corp
48,AVP,Avon Products
49,BHI,Baker Hughes Inc
50,BLL,Ball Corp
51,BAC,Bank of America Corp
52,BK,The Bank of New York Mellon Corp.
53,BCR,Bard (C.R.) Inc.
54,BAX,Baxter International Inc.
55,BBT,BB&T Corporation
56,BDX,Becton Dickinson
57,BBBY,Bed Bath & Beyond
58,BMS,Bemis Company
59,BRK.B,Berkshire Hathaway
60,BBY,Best Buy Co. Inc.
61,BIG,Big Lots Inc.
62,BIIB,BIOGEN IDEC Inc.
63,BLK,BlackRock
64,HRB,Block H&R
65,BMC,BMC Software
66,BA,Boeing Company
67,BWA,BorgWarner
68,BXP,Boston Properties
69,BSX,Boston Scientific
70,BMY,Bristol-Myers Squibb
71,BRCM,Broadcom Corporation
72,BF.B,Brown-Forman Corporation
73,CHRW,C. H. Robinson Worldwide
74,CA,"CA, Inc."
75,CVC,Cablevision Systems Corp.
76,COG,Cabot Oil & Gas
77,CAM,Cameron International Corp.
78,CPB,Campbell Soup
79,COF,Capital One Financial
80,CAH,Cardinal Health Inc.
81,CFN,Carefusion
82,KMX,Carmax Inc
83,CCL,Carnival Corp.
84,CAT,Caterpillar Inc.
85,CBG,CBRE Group
86,CBS,CBS Corp.
87,CELG,Celgene Corp.
88,CNP,CenterPoint Energy
89,CTL,CenturyTel Inc
90,CERN,Cerner
91,CF,CF Industries Holdings Inc
92,SCHW,Charles Schwab
93,CHK,Chesapeake Energy
94,CVX,Chevron Corp.
95,CB,Chubb Corp.
96,CI,CIGNA Corp.
97,CINF,Cincinnati Financial
98,CTAS,Cintas Corporation
99,CSCO,Cisco Systems
100,C,Citigroup Inc.
101,CTXS,Citrix Systems
102,CLF,Cliffs Natural Resources
103,CLX,Clorox Co.
104,CME,CME Group Inc.
105,CMS,CMS Energy
106,COH,Coach Inc.
107,KO,Coca Cola Co.
108,CCE,Coca-Cola Enterprises
109,CTSH,Cognizant Technology Solutions
110,CL,Colgate-Palmolive
111,CMCSA,Comcast Corp.
112,CMA,Comerica Inc.
113,CSC,Computer Sciences Corp.
114,CAG,ConAgra Foods Inc.
115,COP,ConocoPhillips
116,CNX,CONSOL Energy Inc.
117,ED,Consolidated Edison
118,STZ,Constellation Brands
119,CEG,Constellation Energy Group
120,GLW,Corning Inc.
121,COST,Costco Co.
122,CVH,Coventry Health Care Inc.
123,COV,Covidien plc
124,CSX,CSX Corp.
125,CMI,Cummins Inc.
126,CVS,CVS Caremark Corp.
127,DHI,D. R. Horton
128,DHR,Danaher Corp.
129,DRI,Darden Restaurants
130,DVA,DaVita Inc.
131,DF,Dean Foods
132,DE,Deere & Co.
133,DELL,Dell Inc.
134,DNR,Denbury Resources Inc.
135,XRAY,Dentsply International
136,DVN,Devon Energy Corp.
137,DV,"DeVry, Inc."
138,DO,Diamond Offshore Drilling
139,DTV,DirecTV
140,DFS,Discover Financial Services
141,DISCA,Discovery Communications
142,DLTR,Dollar Tree
143,D,Dominion Resources
144,RRD,Donnelley (R.R.) & Sons
145,DOV,Dover Corp.
146,DOW,Dow Chemical
147,DPS,Dr Pepper Snapple Group
148,DTE,DTE Energy Co.
149,DD,Du Pont (E.I.)
150,DUK,Duke Energy
151,DNB,Dun & Bradstreet
152,ETFC,E-Trade
153,EMN,Eastman Chemical
154,ETN,Eaton Corp.
155,EBAY,eBay Inc.
156,ECL,Ecolab Inc.
157,EIX,Edison Int'l
158,EW,Edwards Lifesciences
159,EP,El Paso Corp.
160,EA,Electronic Arts
161,EMC,EMC Corp.
162,EMR,Emerson Electric
163,ETR,Entergy Corp.
