,TICKER,Company
0,MMM,3M Co
1,ACE,ACE Limited
2,ABT,Abbott Laboratories
3,ANF,Abercrombie & Fitch Company A
4,ADBE,Adobe Systems Inc
5,AMD,Advanced Micro Devices
6,AES,AES Corp
7,AET,Aetna Inc
8,AFL,AFLAC Inc
9,A,Agilent Technologies Inc
10,APD,Air Products & Chemicals Inc
11,ARG,Airgas Inc
12,AKS,AK Steel Hldg Corp
13,AKAM,Akamai Technologies Inc
14,AA,Alcoa Inc
15,AYE,Allegheny Energy Inc
16,ATI,Allegheny Technologies Inc
17,AGN,Allergan Inc
18,ALL,Allstate Corp
19,ALTR,Altera Corp
20,MO,Altria Group Inc
21,AMZN,Amazon.com Inc
22,AEE,Ameren Corp
23,AEP,American Electric Power
24,AXP,American Express Co
25,AIG,American Intl Group Inc
26,AMT,American Tower Corp A
27,AMP,Ameriprise Financial
28,ABC,AmerisourceBergen Corp
29,AMGN,Amgen Inc
30,APH,Amphenol Corp A
31,APC,Anadarko Petroleum Corp
32,ADI,Analog Devices Inc
33,AON,Aon Corporation
34,APA,Apache Corporation
35,AIV,Apartment Investment & Mgmt
36,APOL,Apollo Group Inc
37,AAPL,Apple Inc.
38,AMAT,Applied Materials Inc
39,ADM,Archer-Daniels-Midland Co
40,AIZ,Assurant Inc
41,T,AT&T Inc
42,ADSK,Autodesk Inc
43,ADP,Automatic Data Processing
44,AN,AutoNation Inc
45,AZO,AutoZone Inc
46,AVB,AvalonBay Communities Inc
47,AVY,Avery Dennison Corp
48,AVP,Avon Products
49,BHI,Baker Hughes Inc
50,BLL,Ball Corp
51,BAC,Bank of America Corp
52,BK,The Bank of New York Mellon Corp.
53,BCR,Bard (C.R.) Inc.
54,BAX,Baxter International Inc.
55,BBT,BB&T Corporation
56,BDX,Becton Dickinson
57,BBBY,Bed Bath & Beyond
58,BMS,Bemis Company
59,BRKB,Berkshire Hathaway
60,BBY,Best Buy Co. Inc.
61,BIG,Big Lots Inc.
62,BIIB,BIOGEN IDEC Inc.
63,HRB,Block H&R
64,BMC,BMC Software
65,BA,Boeing Company
66,BXP,Boston Properties
67,BSX,Boston Scientific
68,BMY,Bristol-Myers Squibb
69,BRCM,Broadcom Corporation
70,BFB,Brown-Forman Corporation
71,CHRW,C. H. Robinson Worldwide
72,CA,"CA, Inc."
73,COG,Cabot Oil & Gas
74,CAM,Cameron International Corp.
75,CPB,Campbell Soup
76,COF,Capital One Financial
77,CAH,Cardinal Health Inc.
78,CFN,Carefusion
79,KMX,Carmax Inc
80,CCL,Carnival Corp.
81,CAT,Caterpillar Inc.
82,CBG,CB Richard Ellis Group
83,CBS,CBS Corp.
84,CELG,Celgene Corp.
85,CNP,CenterPoint Energy
86,CTL,CenturyTel Inc
87,CEPH,Cephalon Inc
88,CERN,Cerner
89,CF,CF Industries Holdings Inc
90,SCHW,Charles Schwab
91,CHK,Chesapeake Energy
92,CVX,Chevron Corp.
93,CB,Chubb Corp.
94,CI,CIGNA Corp.
95,CINF,Cincinnati Financial
96,CTAS,Cintas Corporation
97,CSCO,Cisco Systems
98,C,Citigroup Inc.
99,CTXS,Citrix Systems
100,CLF,Cliffs Natural Resources
101,CLX,Clorox Co.
102,CME,CME Group Inc.
103,CMS,CMS Energy
104,COH,Coach Inc.
105,KO,Coca Cola Co.
106,CCE,Coca-Cola Enterprises
107,CTSH,Cognizant Technology Solutions
108,CL,Colgate-Palmolive
109,CMCSA,Comcast Corp.
110,CMA,Comerica Inc.
111,CSC,Computer Sciences Corp.
112,CPWR,Compuware Corp.
113,CAG,ConAgra Foods Inc.
114,COP,ConocoPhillips
115,CNX,CONSOL Energy Inc.
116,ED,Consolidated Edison
117,STZ,Constellation Brands
118,CEG,Constellation Energy Group
119,GLW,Corning Inc.
120,COST,Costco Co.
121,CVH,Coventry Health Care Inc.
122,CSX,CSX Corp.
123,CMI,Cummins Inc.
124,CVS,CVS Caremark Corp.
125,DHI,D. R. Horton
126,DHR,Danaher Corp.
127,DRI,Darden Restaurants
128,DVA,DaVita Inc.
129,DF,Dean Foods
130,DE,Deere & Co.
131,DELL,Dell Inc.
132,DNR,Denbury Resources Inc.
133,XRAY,Dentsply International
134,DVN,Devon Energy Corp.
135,DV,"DeVry, Inc."
136,DO,Diamond Offshore Drilling
137,DTV,DIRECTV Group Inc.
138,DFS,Discover Financial Services
139,DISCA,Discovery Communications
140,D,Dominion Resources
141,RRD,Donnelley (R.R.) & Sons
142,DOV,Dover Corp.
143,DOW,Dow Chemical
144,DPS,Dr Pepper Snapple Group
145,DTE,DTE Energy Co.
146,DD,Du Pont (E.I.)
147,DUK,Duke Energy
148,DNB,Dun & Bradstreet
149,ETFC,E-Trade
150,EMN,Eastman Chemical
151,EK,Eastman Kodak
152,ETN,Eaton Corp.
153,EBAY,eBay Inc.
154,ECL,Ecolab Inc.
155,EIX,Edison Int'l
156,EP,El Paso Corp.
157,ERTS,Electronic Arts
158,EMC,EMC Corp.
159,EMR,Emerson Electric
160,ETR,Entergy Corp.
161,EOG,EOG Resources
162,EQT,EQT Corporation
