,TICKER,Security
0,MMM,3M Company
1,ABT,Abbott Laboratories
2,ABBV,AbbVie
3,ACN,Accenture plc
4,ATVI,Activision Blizzard
5,ADBE,Adobe Systems Inc
6,ADT,ADT Corp
7,AAP,Advance Auto Parts
8,AES,AES Corp
9,AET,Aetna Inc
10,AFL,AFLAC Inc
11,AMG,Affiliated Managers Group Inc
12,A,Agilent Technologies Inc
13,GAS,AGL Resources Inc.
14,APD,Air Products & Chemicals Inc
15,ARG,Airgas Inc
16,AKAM,Akamai Technologies Inc
17,AA,Alcoa Inc
18,AGN,Allergan plc
19,ALXN,Alexion Pharmaceuticals
20,ALLE,Allegion
21,ADS,Alliance Data Systems
22,ALL,Allstate Corp
23,GOOGL,Alphabet Inc Class A
24,GOOG,Alphabet Inc Class C
25,MO,Altria Group Inc
26,AMZN,Amazon.com Inc
27,AEE,Ameren Corp
28,AAL,American Airlines Group
29,AEP,American Electric Power
30,AXP,American Express Co
31,AIG,"American International Group, Inc."
32,AMT,American Tower Corp A
33,AWK,American Water Works Company Inc
34,AMP,Ameriprise Financial
35,ABC,AmerisourceBergen Corp
36,AME,Ametek
37,AMGN,Amgen Inc
38,APH,Amphenol Corp A
39,APC,Anadarko Petroleum Corp
40,ADI,"Analog Devices, Inc."
41,AON,Aon plc
42,APA,Apache Corporation
43,AIV,Apartment Investment & Mgmt
44,AAPL,Apple Inc.
45,AMAT,Applied Materials Inc
46,ADM,Archer-Daniels-Midland Co
47,AIZ,Assurant Inc
48,T,AT&T Inc
49,ADSK,Autodesk Inc
50,ADP,Automatic Data Processing
51,AN,AutoNation Inc
52,AZO,AutoZone Inc
53,AVGO,Avago Technologies
54,AVB,"AvalonBay Communities, Inc."
55,AVY,Avery Dennison Corp
56,BHI,Baker Hughes Inc
57,BLL,Ball Corp
58,BAC,Bank of America Corp
59,BK,The Bank of New York Mellon Corp.
60,BCR,Bard (C.R.) Inc.
61,BXLT,Baxalta
62,BAX,Baxter International Inc.
63,BBT,BB&T Corporation
64,BDX,Becton Dickinson
65,BBBY,Bed Bath & Beyond
66,BRK-B,Berkshire Hathaway
67,BBY,Best Buy Co. Inc.
68,BIIB,BIOGEN IDEC Inc.
69,BLK,BlackRock
70,HRB,Block H&R
71,BA,Boeing Company
72,BWA,BorgWarner
73,BXP,Boston Properties
74,BSX,Boston Scientific
75,BMY,Bristol-Myers Squibb
76,BF-B,Brown-Forman Corporation
77,CHRW,C. H. Robinson Worldwide
78,CA,"CA, Inc."
79,CVC,Cablevision Systems Corp.
80,COG,Cabot Oil & Gas
81,CPB,Campbell Soup
82,COF,Capital One Financial
83,CAH,Cardinal Health Inc.
84,HSIC,Henry Schein
85,KMX,Carmax Inc
86,CCL,Carnival Corp.
87,CAT,Caterpillar Inc.
88,CBG,CBRE Group
89,CBS,CBS Corp.
90,CELG,Celgene Corp.
91,CNC,Centene Corporation
92,CNP,CenterPoint Energy
93,CTL,CenturyLink Inc
94,CERN,Cerner
95,CF,CF Industries Holdings Inc
96,SCHW,Charles Schwab Corporation
97,CHK,Chesapeake Energy
98,CVX,Chevron Corp.
99,CMG,Chipotle Mexican Grill
100,CB,Chubb Limited
101,CHD,Church & Dwight
102,CI,CIGNA Corp.
103,XEC,Cimarex Energy
104,CINF,Cincinnati Financial
105,CTAS,Cintas Corporation
106,CSCO,Cisco Systems
107,C,Citigroup Inc.
108,CTXS,Citrix Systems
109,CLX,The Clorox Company
110,CME,CME Group Inc.
111,CMS,CMS Energy
112,COH,Coach Inc.
113,KO,The Coca Cola Company
114,CCE,Coca-Cola Enterprises
115,CTSH,Cognizant Technology Solutions
116,CL,Colgate-Palmolive
117,CPGX,Columbia Pipeline Group Inc
118,CMCSA,Comcast A Corp
119,CMA,Comerica Inc.
120,CAG,ConAgra Foods Inc.
121,CXO,Concho Resources
122,COP,ConocoPhillips
123,ED,Consolidated Edison
124,STZ,Constellation Brands
125,GLW,Corning Inc.
126,COST,Costco Co.
127,CCI,Crown Castle International Corp.
128,CSRA,CSRA Inc.
129,CSX,CSX Corp.
130,CMI,Cummins Inc.
131,CVS,CVS Health
132,DHI,D. R. Horton
133,DHR,Danaher Corp.
134,DRI,Darden Restaurants
135,DVA,DaVita Inc.
136,DE,Deere & Co.
137,DLPH,Delphi Automotive
138,DAL,Delta Air Lines
139,XRAY,Dentsply Sirona
140,DVN,Devon Energy Corp.
141,DO,Diamond Offshore Drilling
142,DFS,Discover Financial Services
143,DISCA,Discovery Communications-A
144,DISCK,Discovery Communications-C
145,DG,Dollar General
146,DLTR,Dollar Tree
147,D,Dominion Resources
148,DOV,Dover Corp.
149,DOW,Dow Chemical
150,DPS,Dr Pepper Snapple Group
151,DTE,DTE Energy Co.
152,DD,Du Pont (E.I.)
153,DUK,Duke Energy
154,DNB,Dun & Bradstreet
155,ETFC,E*Trade
156,EMN,Eastman Chemical
157,ETN,Eaton Corporation
158,EBAY,eBay Inc.
159,ECL,Ecolab Inc.
160,EIX,Edison Int'l
161,EW,Edwards Lifesciences
162,EA,Electronic Arts
163,EMC,EMC Corp.
164,EMR,Emerson Electric Company
165,ENDP,Endo International
166,ETR,Entergy Corp.
167,EOG,EOG Resources
168,EQT,EQT Corporation
169,EFX,Equifax Inc.
170,EQIX,Equinix
171,EQR,Equity Residential
172,ESS,Essex Property Trust Inc
173,EL,Estee Lauder Cos.
174,ES,Eversource Energy
175,EXC,Exelon Corp.
176,EXPE,Expedia Inc.
177,EXPD,Expeditors Int'l
178,ESRX,Express Scripts
179,EXR,Extra Space Storage
180,XOM,Exxon Mobil Corp.
181,FFIV,F5 Networks
182,FB,Facebook
183,FAST,Fastenal Co
184,FRT,Federal Realty Investment Trust
185,FDX,FedEx Corporation
186,FIS,Fidelity National Information Services
187,FITB,Fifth Third Bancorp
188,FSLR,First Solar Inc
189,FE,FirstEnergy Corp
190,FISV,Fiserv Inc
191,FLIR,FLIR Systems
192,FLS,Flowserve Corporation
193,FLR,Fluor Corp.
194,FMC,FMC Corporation
195,FTI,FMC Technologies Inc.
196,FL,Foot Locker Inc
197,F,Ford Motor
198,BEN,Franklin Resources
199,FCX,Freeport-McMoran Cp & Gld
200,FTR,Frontier Communications
201,GME,GameStop Corp.
202,GPS,Gap (The)
203,GRMN,Garmin Ltd.
204,GD,General Dynamics
205,GE,General Electric
206,GGP,General Growth Properties Inc.
207,GIS,General Mills
208,GM,General Motors
209,GPC,Genuine Parts
210,GILD,Gilead Sciences
211,GS,Goldman Sachs Group
212,GT,Goodyear Tire & Rubber
213,GWW,Grainger (W.W.) Inc.
214,HAL,Halliburton Co.
215,HBI,Hanesbrands Inc
216,HOG,Harley-Davidson
217,HAR,Harman Int'l Industries
218,HRS,Harris Corporation
219,HIG,Hartford Financial Svc.Gp.
220,HAS,Hasbro Inc.
221,HCA,HCA Holdings
222,HCP,HCP Inc.
223,HP,Helmerich & Payne
224,HES,Hess Corporation
225,HPE,Hewlett Packard Enterprise
226,HOLX,Hologic
227,HD,Home Depot
228,HON,Honeywell Int'l Inc.
229,HRL,Hormel Foods Corp.
230,HST,Host Hotels & Resorts
231,HPQ,HP Inc.
232,HUM,Humana Inc.
233,HBAN,Huntington Bancshares
234,ITW,Illinois Tool Works
235,ILMN,Illumina Inc
236,IR,Ingersoll-Rand PLC
237,INTC,Intel Corp.
238,ICE,Intercontinental Exchange
239,IBM,International Bus. Machines
240,IP,International Paper
241,IPG,Interpublic Group
242,IFF,Intl Flavors & Fragrances
243,INTU,Intuit Inc.
244,ISRG,Intuitive Surgical Inc.
245,IVZ,Invesco Ltd.
246,IRM,Iron Mountain Incorporated
247,JEC,Jacobs Engineering Group
248,JBHT,J. B. Hunt Transport Services
249,JNJ,Johnson & Johnson
250,JCI,Johnson Controls
251,JPM,JPMorgan Chase & Co.
252,JNPR,Juniper Networks
253,KSU,Kansas City Southern
254,K,Kellogg Co.
255,KEY,KeyCorp
256,KMB,Kimberly-Clark
257,KIM,Kimco Realty
258,KMI,Kinder Morgan
259,KLAC,KLA-Tencor Corp.
260,KSS,Kohl's Corp.
261,KHC,Kraft Heinz Co
262,KR,Kroger Co.
263,LB,L Brands Inc.
264,LLL,L-3 Communications Holdings
265,LH,Laboratory Corp. of America Holding
266,LRCX,Lam Research
267,LM,Legg Mason
268,LEG,Leggett & Platt
269,LEN,Lennar Corp.
270,LVLT,Level 3 Communications
271,LUK,Leucadia National Corp.
272,LLY,Lilly (Eli) & Co.
273,LNC,Lincoln National
274,LLTC,Linear Technology Corp.
275,LMT,Lockheed Martin Corp.
276,L,Loews Corp.
277,LOW,Lowe's Cos.
278,LYB,LyondellBasell
279,MTB,M&T Bank Corp.
280,MAC,Macerich
281,M,Macy's Inc.
282,MNK,Mallinckrodt Plc
283,MRO,Marathon Oil Corp.
284,MPC,Marathon Petroleum
285,MAR,Marriott Int'l.
286,MMC,Marsh & McLennan
287,MLM,Martin Marietta Materials
288,MAS,Masco Corp.
289,MA,Mastercard Inc.
290,MAT,Mattel Inc.
291,MKC,McCormick & Co.
292,MCD,McDonald's Corp.
293,MHFI,McGraw Hill Financial
294,MCK,McKesson Corp.
295,MJN,Mead Johnson
296,WRK,Westrock Co
297,MDT,Medtronic plc
298,MRK,Merck & Co.
299,MET,MetLife Inc.
300,KORS,Michael Kors Holdings
301,MCHP,Microchip Technology
302,MU,Micron Technology
303,MSFT,Microsoft Corp.
304,MHK,Mohawk Industries
305,TAP,Molson Coors Brewing Company
306,MDLZ,Mondelez International
307,MON,Monsanto Co.
