,TICKER,Company
0,MMM,3M Co
1,ACE,ACE Limited
2,ABT,Abbott Laboratories
3,ANF,Abercrombie & Fitch Company A
4,ADBE,Adobe Systems Inc
5,AMD,Advanced Micro Devices
6,AES,AES Corp
7,AET,Aetna Inc
8,AFL,AFLAC Inc
9,A,Agilent Technologies Inc
10,APD,Air Products & Chemicals Inc
11,ARG,Airgas Inc
12,AKS,AK Steel Hldg Corp
13,AKAM,Akamai Technologies Inc
14,AA,Alcoa Inc
15,ATI,Allegheny Technologies Inc
16,AGN,Allergan Inc
17,ALL,Allstate Corp
18,ALTR,Altera Corp
19,MO,Altria Group Inc
20,AMZN,Amazon.com Inc
21,AEE,Ameren Corp
22,AEP,American Electric Power
23,AXP,American Express Co
24,AIG,American Intl Group Inc
25,AMT,American Tower Corp A
26,AMP,Ameriprise Financial
27,ABC,AmerisourceBergen Corp
28,AMGN,Amgen Inc
29,APH,Amphenol Corp A
30,APC,Anadarko Petroleum Corp
31,ADI,Analog Devices Inc
32,AON,Aon Corporation
33,APA,Apache Corporation
34,AIV,Apartment Investment & Mgmt
35,APOL,Apollo Group Inc
36,AAPL,Apple Inc.
37,AMAT,Applied Materials Inc
38,ADM,Archer-Daniels-Midland Co
39,AIZ,Assurant Inc
40,T,AT&T Inc
41,ADSK,Autodesk Inc
42,ADP,Automatic Data Processing
43,AN,AutoNation Inc
44,AZO,AutoZone Inc
45,AVB,AvalonBay Communities Inc
46,AVY,Avery Dennison Corp
47,AVP,Avon Products
48,BHI,Baker Hughes Inc
49,BLL,Ball Corp
50,BAC,Bank of America Corp
51,BK,The Bank of New York Mellon Corp.
52,BCR,Bard (C.R.) Inc.
53,BAX,Baxter International Inc.
54,BBT,BB&T Corporation
55,BDX,Becton Dickinson
56,BBBY,Bed Bath & Beyond
57,BMS,Bemis Company
58,BRKB,Berkshire Hathaway
59,BBY,Best Buy Co. Inc.
60,BIG,Big Lots Inc.
61,BIIB,BIOGEN IDEC Inc.
62,HRB,Block H&R
63,BMC,BMC Software
64,BA,Boeing Company
65,BXP,Boston Properties
66,BSX,Boston Scientific
67,BMY,Bristol-Myers Squibb
68,BRCM,Broadcom Corporation
69,BFB,Brown-Forman Corporation
70,CHRW,C. H. Robinson Worldwide
71,CA,"CA, Inc."
72,CVC,Cablevision Systems Corp.
73,COG,Cabot Oil & Gas
74,CAM,Cameron International Corp.
75,CPB,Campbell Soup
76,COF,Capital One Financial
77,CAH,Cardinal Health Inc.
78,CFN,Carefusion
79,KMX,Carmax Inc
80,CCL,Carnival Corp.
81,CAT,Caterpillar Inc.
82,CBG,CB Richard Ellis Group
83,CBS,CBS Corp.
84,CELG,Celgene Corp.
85,CNP,CenterPoint Energy
86,CTL,CenturyTel Inc
87,CEPH,Cephalon Inc
88,CERN,Cerner
89,CF,CF Industries Holdings Inc
90,SCHW,Charles Schwab
91,CHK,Chesapeake Energy
92,CVX,Chevron Corp.
93,CB,Chubb Corp.
94,CI,CIGNA Corp.
95,CINF,Cincinnati Financial
96,CTAS,Cintas Corporation
97,CSCO,Cisco Systems
98,C,Citigroup Inc.
99,CTXS,Citrix Systems
100,CLF,Cliffs Natural Resources
101,CLX,Clorox Co.
102,CME,CME Group Inc.
103,CMS,CMS Energy
104,COH,Coach Inc.
105,KO,Coca Cola Co.
106,CCE,Coca-Cola Enterprises
107,CTSH,Cognizant Technology Solutions
108,CL,Colgate-Palmolive
109,CMCSA,Comcast Corp.
110,CMA,Comerica Inc.
111,CSC,Computer Sciences Corp.
112,CPWR,Compuware Corp.
113,CAG,ConAgra Foods Inc.
114,COP,ConocoPhillips
115,CNX,CONSOL Energy Inc.
116,ED,Consolidated Edison
117,STZ,Constellation Brands
118,CEG,Constellation Energy Group
119,GLW,Corning Inc.
120,COST,Costco Co.
121,CVH,Coventry Health Care Inc.
122,COV,Covidien plc
123,CSX,CSX Corp.
124,CMI,Cummins Inc.
125,CVS,CVS Caremark Corp.
126,DHI,D. R. Horton
127,DHR,Danaher Corp.
128,DRI,Darden Restaurants
129,DVA,DaVita Inc.
130,DF,Dean Foods
131,DE,Deere & Co.
132,DELL,Dell Inc.
133,DNR,Denbury Resources Inc.
134,XRAY,Dentsply International
135,DVN,Devon Energy Corp.
136,DV,"DeVry, Inc."
137,DO,Diamond Offshore Drilling
138,DTV,DIRECTV Group Inc.
139,DFS,Discover Financial Services
140,DISCA,Discovery Communications
141,D,Dominion Resources
142,RRD,Donnelley (R.R.) & Sons
143,DOV,Dover Corp.
144,DOW,Dow Chemical
145,DPS,Dr Pepper Snapple Group
146,DTE,DTE Energy Co.
147,DD,Du Pont (E.I.)
148,DUK,Duke Energy
149,DNB,Dun & Bradstreet
150,ETFC,E-Trade
151,EMN,Eastman Chemical
152,ETN,Eaton Corp.
153,EBAY,eBay Inc.
154,ECL,Ecolab Inc.
155,EIX,Edison Int'l
156,EP,El Paso Corp.
157,ERTS,Electronic Arts
158,EMC,EMC Corp.
159,EMR,Emerson Electric
160,ETR,Entergy Corp.
161,EOG,EOG Resources
162,EQT,EQT Corporation
