,TICKER,Security
0,ABT,Abbott Laboratories
1,ABBV,AbbVie
2,ACE,ACE Limited
3,ACN,Accenture plc
4,ACT,Actavis plc
5,ADBE,Adobe Systems Inc
6,ADT,ADT Corp
7,AES,AES Corp
8,AET,Aetna Inc
9,AFL,AFLAC Inc
10,AMG,Affiliated Managers Group Inc
11,A,Agilent Technologies Inc
12,GAS,AGL Resources Inc.
13,APD,Air Products & Chemicals Inc
14,ARG,Airgas Inc
15,AKAM,Akamai Technologies Inc
16,AA,Alcoa Inc
17,ALXN,Alexion Pharmaceuticals
18,ATI,Allegheny Technologies Inc
19,ALLE,Allegion
20,AGN,Allergan Inc
21,ADS,Alliance Data Systems
22,ALL,Allstate Corp
23,ALTR,Altera Corp
24,MO,Altria Group Inc
25,AMZN,Amazon.com Inc
26,AEE,Ameren Corp
27,AEP,American Electric Power
28,AXP,American Express Co
29,AIG,"American International Group, Inc."
30,AMT,American Tower Corp A
31,AMP,Ameriprise Financial
32,ABC,AmerisourceBergen Corp
33,AME,Ametek
34,AMGN,Amgen Inc
35,APH,Amphenol Corp A
36,APC,Anadarko Petroleum Corp
37,ADI,"Analog Devices, Inc."
38,AON,Aon plc
39,APA,Apache Corporation
40,AIV,Apartment Investment & Mgmt
41,AAPL,Apple Inc.
42,AMAT,Applied Materials Inc
43,ADM,Archer-Daniels-Midland Co
44,AIZ,Assurant Inc
45,T,AT&T Inc
46,ADSK,Autodesk Inc
47,ADP,Automatic Data Processing
48,AN,AutoNation Inc
49,AZO,AutoZone Inc
50,AVGO,Avago Technologies
51,AVB,"AvalonBay Communities, Inc."
52,AVY,Avery Dennison Corp
53,AVP,Avon Products
54,BHI,Baker Hughes Inc
55,BLL,Ball Corp
56,BAC,Bank of America Corp
57,BK,The Bank of New York Mellon Corp.
58,BCR,Bard (C.R.) Inc.
59,BAX,Baxter International Inc.
60,BBT,BB&T Corporation
61,BDX,Becton Dickinson
62,BBBY,Bed Bath & Beyond
63,BMS,Bemis Company
64,BRK.B,Berkshire Hathaway
65,BBY,Best Buy Co. Inc.
66,BIIB,BIOGEN IDEC Inc.
67,BLK,BlackRock
68,HRB,Block H&R
69,BA,Boeing Company
70,BWA,BorgWarner
71,BXP,Boston Properties
72,BSX,Boston Scientific
73,BMY,Bristol-Myers Squibb
74,BRCM,Broadcom Corporation
75,BF.B,Brown-Forman Corporation
76,CHRW,C. H. Robinson Worldwide
77,CA,"CA, Inc."
78,CVC,Cablevision Systems Corp.
79,COG,Cabot Oil & Gas
80,CAM,Cameron International Corp.
81,CPB,Campbell Soup
82,COF,Capital One Financial
83,CAH,Cardinal Health Inc.
84,CFN,Carefusion
85,KMX,Carmax Inc
86,CCL,Carnival Corp.
87,CAT,Caterpillar Inc.
88,CBG,CBRE Group
89,CBS,CBS Corp.
90,CELG,Celgene Corp.
91,CNP,CenterPoint Energy
92,CTL,CenturyLink Inc
93,CERN,Cerner
94,CF,CF Industries Holdings Inc
95,SCHW,Charles Schwab Corporation
96,CHK,Chesapeake Energy
97,CVX,Chevron Corp.
98,CMG,Chipotle Mexican Grill
99,CB,Chubb Corp.
100,CI,CIGNA Corp.
101,XEC,Cimarex Energy
102,CINF,Cincinnati Financial
103,CTAS,Cintas Corporation
104,CSCO,Cisco Systems
105,C,Citigroup Inc.
106,CTXS,Citrix Systems
107,CLX,The Clorox Company
108,CME,CME Group Inc.
109,CMS,CMS Energy
110,COH,Coach Inc.
111,KO,The Coca Cola Company
112,CCE,Coca-Cola Enterprises
113,CTSH,Cognizant Technology Solutions
114,CL,Colgate-Palmolive
115,CMCSA,Comcast Corp.
116,CMA,Comerica Inc.
117,CSC,Computer Sciences Corp.
118,CAG,ConAgra Foods Inc.
119,COP,ConocoPhillips
120,CNX,CONSOL Energy Inc.
121,ED,Consolidated Edison
122,STZ,Constellation Brands
123,GLW,Corning Inc.
124,COST,Costco Co.
125,COV,Covidien plc
126,CCI,Crown Castle International Corp.
127,CSX,CSX Corp.
128,CMI,Cummins Inc.
129,CVS,CVS Caremark Corp.
130,DHI,D. R. Horton
131,DHR,Danaher Corp.
132,DRI,Darden Restaurants
133,DVA,DaVita Inc.
134,DE,Deere & Co.
135,DLPH,Delphi Automotive
136,DAL,Delta Air Lines
137,DNR,Denbury Resources Inc.
138,XRAY,Dentsply International
139,DVN,Devon Energy Corp.
140,DO,Diamond Offshore Drilling
141,DTV,DirecTV
142,DFS,Discover Financial Services
143,DISCA,Discovery Communications
144,DG,Dollar General
145,DLTR,Dollar Tree
146,D,Dominion Resources
147,DOV,Dover Corp.
148,DOW,Dow Chemical
149,DPS,Dr Pepper Snapple Group
150,DTE,DTE Energy Co.
151,DD,Du Pont (E.I.)
152,DUK,Duke Energy
153,DNB,Dun & Bradstreet
154,ETFC,E-Trade
155,EMN,Eastman Chemical
156,ETN,Eaton Corporation
157,EBAY,eBay Inc.
158,ECL,Ecolab Inc.
159,EIX,Edison Int'l
160,EW,Edwards Lifesciences
161,EA,Electronic Arts
162,EMC,EMC Corp.
163,EMR,Emerson Electric
164,ESV,Ensco plc
165,ETR,Entergy Corp.
166,EOG,EOG Resources
167,EQT,EQT Corporation
168,EFX,Equifax Inc.
169,EQR,Equity Residential
170,ESS,Essex Property Trust Inc
171,EL,Estee Lauder Cos.
172,EXC,Exelon Corp.
173,EXPE,Expedia Inc.
174,EXPD,Expeditors Int'l
175,ESRX,Express Scripts
176,XOM,Exxon Mobil Corp.
177,FFIV,F5 Networks
178,FB,Facebook
179,FDO,Family Dollar Stores
180,FAST,Fastenal Co
181,FDX,FedEx Corporation
182,FIS,Fidelity National Information Services
183,FITB,Fifth Third Bancorp
184,FSLR,First Solar Inc
185,FE,FirstEnergy Corp
186,FISV,Fiserv Inc
187,FLIR,FLIR Systems
188,FLS,Flowserve Corporation
189,FLR,Fluor Corp.
190,FMC,FMC Corporation
191,FTI,FMC Technologies Inc.
192,F,Ford Motor
193,FOSL,"Fossil, Inc."
194,BEN,Franklin Resources
195,FCX,Freeport-McMoran Cp & Gld
196,FTR,Frontier Communications
197,GME,GameStop Corp.
198,GCI,Gannett Co.
199,GPS,Gap (The)
200,GRMN,Garmin Ltd.
201,GD,General Dynamics
202,GE,General Electric
203,GGP,General Growth Properties Inc.
204,GIS,General Mills
205,GM,General Motors
206,GPC,Genuine Parts
207,GNW,Genworth Financial Inc.
208,GILD,Gilead Sciences
209,GS,Goldman Sachs Group
210,GT,Goodyear Tire & Rubber
211,GOOG,Google Inc.
212,GOOGL,Google Inc.
213,GWW,Grainger (W.W.) Inc.
214,HAL,Halliburton Co.
215,HOG,Harley-Davidson
216,HAR,Harman Int'l Industries
217,HRS,Harris Corporation
218,HIG,Hartford Financial Svc.Gp.
219,HAS,Hasbro Inc.
220,HCP,HCP Inc.
221,HCN,"Health Care REIT, Inc."
222,HP,Helmerich & Payne
223,HES,Hess Corporation
224,HPQ,Hewlett-Packard
225,HD,Home Depot
226,HON,Honeywell Int'l Inc.
227,HRL,Hormel Foods Corp.
228,HSP,Hospira Inc.
229,HST,Host Hotels & Resorts
230,HCBK,Hudson City Bancorp
231,HUM,Humana Inc.
232,HBAN,Huntington Bancshares
233,ITW,Illinois Tool Works
234,IR,Ingersoll-Rand PLC
235,TEG,Integrys Energy Group Inc.
236,INTC,Intel Corp.
237,ICE,IntercontinentalExchange Inc.
238,IBM,International Bus. Machines
239,IP,International Paper
240,IPG,Interpublic Group
241,IFF,Intl Flavors & Fragrances
242,INTU,Intuit Inc.
243,ISRG,Intuitive Surgical Inc.
244,IVZ,Invesco Ltd.
245,IRM,Iron Mountain Incorporated
246,JBL,Jabil Circuit
247,JEC,Jacobs Engineering Group
248,JNJ,Johnson & Johnson
249,JCI,Johnson Controls
250,JOY,Joy Global Inc.
251,JPM,JPMorgan Chase & Co.
252,JNPR,Juniper Networks
253,KSU,Kansas City Southern
254,K,Kellogg Co.
255,KEY,KeyCorp
256,GMCR,Keurig Green Mountain
257,KMB,Kimberly-Clark
258,KIM,Kimco Realty
259,KMI,Kinder Morgan
260,KLAC,KLA-Tencor Corp.
261,KSS,Kohl's Corp.
262,KRFT,Kraft Foods Group
263,KR,Kroger Co.
264,LB,L Brands Inc.
265,LLL,L-3 Communications Holdings
266,LH,Laboratory Corp. of America Holding
267,LRCX,Lam Research
268,LM,Legg Mason
269,LEG,Leggett & Platt
270,LEN,Lennar Corp.
271,LUK,Leucadia National Corp.
272,LLY,Lilly (Eli) & Co.
273,LNC,Lincoln National
274,LLTC,Linear Technology Corp.
275,LMT,Lockheed Martin Corp.
276,L,Loews Corp.
277,LO,Lorillard Inc.
278,LOW,Lowe's Cos.
279,LYB,LyondellBasell
280,MTB,M&T Bank Corp.
281,MAC,Macerich
282,M,Macy's Inc.
283,MMM,3M Company
284,MRO,Marathon Oil Corp.
285,MPC,Marathon Petroleum
286,MAR,Marriott Int'l.
287,MMC,Marsh & McLennan
288,MAS,Masco Corp.
289,MA,Mastercard Inc.
290,MAT,Mattel Inc.
291,MKC,McCormick & Co.
292,MCD,McDonald's Corp.
293,MHFI,McGraw Hill Financial
294,MCK,McKesson Corp.
295,MJN,Mead Johnson
296,MWV,MeadWestvaco Corporation
297,MDT,Medtronic Inc.
298,MRK,Merck & Co.
299,MET,MetLife Inc.
300,MCHP,Microchip Technology
301,MU,Micron Technology
302,MSFT,Microsoft Corp.
303,MHK,Mohawk Industries
304,TAP,Molson Coors Brewing Company
305,MDLZ,Mondelez International
306,MON,Monsanto Co.
307,MNST,Monster Beverage
308,MCO,Moody's Corp
309,MS,Morgan Stanley
310,MOS,The Mosaic Company
311,MSI,Motorola Solutions Inc.
312,MUR,Murphy Oil
313,MYL,Mylan Inc.
314,NBR,Nabors Industries Ltd.
315,NDAQ,NASDAQ OMX Group
316,NOV,National Oilwell Varco Inc.
317,NAVI,Navient Corp
318,NTAP,NetApp
319,NFLX,Netflix Inc.
320,NWL,Newell Rubbermaid Co.
321,NFX,Newfield Exploration Co
322,NEM,Newmont Mining Corp. (Hldg. Co.)
323,NWSA,News Corporation
324,NEE,NextEra Energy
325,NLSN,Nielsen Holdings
326,NKE,NIKE Inc.
327,NI,NiSource Inc.
328,NE,Noble Corp
329,NBL,Noble Energy Inc
330,JWN,Nordstrom
331,NSC,Norfolk Southern Corp.
332,NTRS,Northern Trust Corp.
333,NOC,Northrop Grumman Corp.
334,NU,Northeast Utilities
335,NRG,NRG Energy
336,NUE,Nucor Corp.
337,NVDA,Nvidia Corporation
338,KORS,Michael Kors
339,ORLY,O'Reilly Automotive
340,OXY,Occidental Petroleum
341,OMC,Omnicom Group
342,OKE,ONEOK
343,ORCL,Oracle Corp.
344,OI,Owens-Illinois Inc
345,PCG,P G & E Corp.
346,PCAR,PACCAR Inc.
347,PLL,Pall Corp.
348,PH,Parker-Hannifin
349,PDCO,Patterson Companies
350,PAYX,Paychex Inc.
351,BTU,Peabody Energy
352,PNR,Pentair Ltd.
353,PBCT,People's United Bank
354,POM,Pepco Holdings Inc.
355,PEP,PepsiCo Inc.
356,PKI,PerkinElmer
357,PRGO,Perrigo
358,PETM,"PetSmart, Inc."
359,PFE,Pfizer Inc.
360,PM,Philip Morris International
361,PSX,Phillips 66
362,PNW,Pinnacle West Capital
363,PXD,Pioneer Natural Resources
364,PBI,Pitney-Bowes
365,PCL,Plum Creek Timber Co.
366,PNC,PNC Financial Services
367,RL,Polo Ralph Lauren Corp.
368,PPG,PPG Industries
369,PPL,PPL Corp.
370,PX,Praxair Inc.
371,PCP,Precision Castparts
372,PCLN,Priceline.com Inc
373,PFG,Principal Financial Group
374,PG,Procter & Gamble
375,PGR,Progressive Corp.
376,PLD,Prologis
377,PRU,Prudential Financial
378,PEG,Public Serv. Enterprise Inc.
379,PSA,Public Storage
380,PHM,Pulte Homes Inc.
381,PVH,PVH Corp.
382,QEP,QEP Resources
383,PWR,Quanta Services Inc.
384,QCOM,QUALCOMM Inc.
385,DGX,Quest Diagnostics
386,RRC,Range Resources Corp.
387,RTN,Raytheon Co.
388,RHT,Red Hat Inc.
389,REGN,Regeneron
390,RF,Regions Financial Corp.
391,RSG,Republic Services Inc
392,RAI,Reynolds American Inc.
393,RHI,Robert Half International
394,ROK,Rockwell Automation Inc.
395,COL,Rockwell Collins
396,ROP,Roper Industries
397,ROST,Ross Stores
398,RDC,Rowan Cos.
399,R,Ryder System
400,SWY,Safeway Inc.
401,CRM,Salesforce.com
402,SNDK,SanDisk Corporation
403,SCG,SCANA Corp
404,SLB,Schlumberger Ltd.
405,SNI,Scripps Networks Interactive Inc.
406,STX,Seagate Technology
407,SEE,Sealed Air Corp.(New)
408,SRE,Sempra Energy
409,SHW,Sherwin-Williams
410,SIAL,Sigma-Aldrich
411,SPG,Simon Property Group Inc
412,SJM,Smucker (J.M.)
413,SNA,Snap-On Inc.
414,SO,Southern Co.
415,LUV,Southwest Airlines
416,SWN,Southwestern Energy
417,SE,Spectra Energy Corp.
418,STJ,St Jude Medical
419,SWK,Stanley Black & Decker
420,SPLS,Staples Inc.
421,SBUX,Starbucks Corp.
422,HOT,Starwood Hotels & Resorts
423,STT,State Street Corp.
424,SRCL,Stericycle Inc
425,SYK,Stryker Corp.
426,STI,SunTrust Banks
427,SYMC,Symantec Corp.
428,SYY,Sysco Corp.
429,TROW,T. Rowe Price Group
430,TGT,Target Corp.
431,TEL,TE Connectivity Ltd.
432,TE,TECO Energy
433,THC,Tenet Healthcare Corp.
434,TDC,Teradata Corp.
435,TSO,Tesoro Petroleum Co.
436,TXN,Texas Instruments
437,TXT,Textron Inc.
438,HSY,The Hershey Company
439,TRV,The Travelers Companies Inc.
440,TMO,Thermo Fisher Scientific
441,TIF,Tiffany & Co.
442,TWX,Time Warner Inc.
