,TICKER,Company
0,MMM,3M Co.
1,ACE,ACE Limited
2,ABT,Abbott Laboratories
3,ANF,Abercrombie & Fitch Company A
4,ACN,Accenture
5,ADBE,Adobe Systems Inc
6,AMD,Advanced Micro Devices
7,AES,AES Corp
8,AET,Aetna Inc
9,AFL,AFLAC Inc
10,A,Agilent Technologies Inc
11,GAS,AGL Resources Inc.
12,APD,Air Products & Chemicals Inc
13,ARG,Airgas Inc
14,AKAM,Akamai Technologies Inc
15,AA,Alcoa Inc
16,ATI,Allegheny Technologies Inc
17,AGN,Allergan Inc
18,ALL,Allstate Corp
19,ANR,Alpha Natural Resources
20,ALTR,Altera Corp
21,MO,Altria Group Inc
22,AMZN,Amazon.com Inc
23,AEE,Ameren Corp
24,AEP,American Electric Power
25,AXP,American Express Co
26,AIG,American Intl Group Inc
27,AMT,American Tower Corp A
28,AMP,Ameriprise Financial
29,ABC,AmerisourceBergen Corp
30,AMGN,Amgen Inc
31,APH,Amphenol Corp A
32,APC,Anadarko Petroleum Corp
33,ADI,Analog Devices Inc
34,AON,Aon plc
35,APA,Apache Corporation
36,AIV,Apartment Investment & Mgmt
37,APOL,Apollo Group Inc
38,AAPL,Apple Inc.
39,AMAT,Applied Materials Inc
40,ADM,Archer-Daniels-Midland Co
41,AIZ,Assurant Inc
42,T,AT&T Inc
43,ADSK,Autodesk Inc
44,ADP,Automatic Data Processing
45,AN,AutoNation Inc
46,AZO,AutoZone Inc
47,AVB,"AvalonBay Communities, Inc."
48,AVY,Avery Dennison Corp
49,AVP,Avon Products
50,BHI,Baker Hughes Inc
51,BLL,Ball Corp
52,BAC,Bank of America Corp
53,BK,The Bank of New York Mellon Corp.
54,BCR,Bard (C.R.) Inc.
55,BAX,Baxter International Inc.
56,BBT,BB&T Corporation
57,BEAM,Beam Inc.
58,BDX,Becton Dickinson
59,BBBY,Bed Bath & Beyond
60,BMS,Bemis Company
61,BRK.B,Berkshire Hathaway
62,BBY,Best Buy Co. Inc.
63,BIG,Big Lots Inc.
64,BIIB,BIOGEN IDEC Inc.
65,BLK,BlackRock
66,HRB,Block H&R
67,BMC,BMC Software
68,BA,Boeing Company
69,BWA,BorgWarner
70,BXP,Boston Properties
71,BSX,Boston Scientific
72,BMY,Bristol-Myers Squibb
73,BRCM,Broadcom Corporation
74,BFB,Brown-Forman Corporation
75,CHRW,C. H. Robinson Worldwide
76,CA,"CA, Inc."
77,CVC,Cablevision Systems Corp.
78,COG,Cabot Oil & Gas
79,CAM,Cameron International Corp.
80,CPB,Campbell Soup
81,COF,Capital One Financial
82,CAH,Cardinal Health Inc.
83,CFN,Carefusion
84,KMX,Carmax Inc
85,CCL,Carnival Corp.
86,CAT,Caterpillar Inc.
87,CBG,CBRE Group
88,CBS,CBS Corp.
89,CELG,Celgene Corp.
90,CNP,CenterPoint Energy
91,CTL,CenturyLink Inc
92,CERN,Cerner
93,CF,CF Industries Holdings Inc
94,SCHW,Charles Schwab
95,CHK,Chesapeake Energy
96,CVX,Chevron Corp.
97,CB,Chubb Corp.
98,CI,CIGNA Corp.
99,CINF,Cincinnati Financial
100,CTAS,Cintas Corporation
101,CSCO,Cisco Systems
102,C,Citigroup Inc.
103,CTXS,Citrix Systems
104,CLF,Cliffs Natural Resources
105,CLX,Clorox Co.
106,CME,CME Group Inc.
107,CMS,CMS Energy
108,COH,Coach Inc.
109,KO,Coca Cola Co.
110,CCE,Coca-Cola Enterprises
111,CTSH,Cognizant Technology Solutions
112,CL,Colgate-Palmolive
113,CMCSA,Comcast Corp.
114,CMA,Comerica Inc.
115,CSC,Computer Sciences Corp.
116,CAG,ConAgra Foods Inc.
117,COP,ConocoPhillips
118,CNX,CONSOL Energy Inc.
119,ED,Consolidated Edison
120,STZ,Constellation Brands
121,GLW,Corning Inc.
122,COST,Costco Co.
123,CVH,Coventry Health Care Inc.
124,COV,Covidien plc
125,CCI,Crown Castle International Corp.
126,CSX,CSX Corp.
127,CMI,Cummins Inc.
128,CVS,CVS Caremark Corp.
129,DHI,D. R. Horton
130,DHR,Danaher Corp.
131,DRI,Darden Restaurants
132,DVA,DaVita Inc.
133,DF,Dean Foods
134,DE,Deere & Co.
135,DELL,Dell Inc.
136,DNR,Denbury Resources Inc.
137,XRAY,Dentsply International
138,DVN,Devon Energy Corp.
139,DV,"DeVry, Inc."
140,DO,Diamond Offshore Drilling
141,DTV,DirecTV
142,DFS,Discover Financial Services
143,DISCA,Discovery Communications
144,DLTR,Dollar Tree
145,D,Dominion Resources
146,RRD,Donnelley (R.R.) & Sons
147,DOV,Dover Corp.
148,DOW,Dow Chemical
149,DPS,Dr Pepper Snapple Group
150,DTE,DTE Energy Co.
151,DD,Du Pont (E.I.)
152,DUK,Duke Energy
153,DNB,Dun & Bradstreet
154,ETFC,E-Trade
155,EMN,Eastman Chemical
156,ETN,Eaton Corp.
157,EBAY,eBay Inc.
158,ECL,Ecolab Inc.
159,EIX,Edison Int'l
160,EW,Edwards Lifesciences
161,EP,El Paso Corp.
162,EA,Electronic Arts
163,EMC,EMC Corp.
