,TICKER,Security
0,MMM,3M Company
1,ABT,Abbott Laboratories
2,ABBV,AbbVie Inc.
3,ABMD,ABIOMED Inc
4,ACN,Accenture plc
5,ATVI,Activision Blizzard
6,ADBE,Adobe Inc.
7,AMD,Advanced Micro Devices Inc
8,AAP,Advance Auto Parts
9,AES,AES Corp
10,AFL,AFLAC Inc
11,A,Agilent Technologies Inc
12,APD,Air Products & Chemicals Inc
13,AKAM,Akamai Technologies Inc
14,ALK,Alaska Air Group Inc
15,ALB,Albemarle Corp
16,ARE,Alexandria Real Estate Equities
17,ALXN,Alexion Pharmaceuticals
18,ALGN,Align Technology
19,ALLE,Allegion
20,AGN,"Allergan, plc"
21,ADS,Alliance Data Systems
22,LNT,Alliant Energy Corp
23,ALL,Allstate Corp
24,GOOGL,Alphabet Inc Class A
25,GOOG,Alphabet Inc Class C
26,MO,Altria Group Inc
27,AMZN,Amazon.com Inc.
28,AMCR,Amcor plc
29,AEE,Ameren Corp
30,AAL,American Airlines Group
31,AEP,American Electric Power
32,AXP,American Express Co
33,AIG,American International Group
34,T,AT&T
35,AMT,American Tower Corp.
36,AWK,American Water Works Company Inc
37,AMP,Ameriprise Financial
38,ABC,AmerisourceBergen Corp
39,AME,AMETEK Inc.
40,AMGN,Amgen Inc.
41,APH,Amphenol Corp
42,ADI,"Analog Devices, Inc."
43,ANSS,ANSYS
44,ANTM,Anthem
45,AON,Aon plc
46,AOS,A.O. Smith Corp
47,APA,Apache Corporation
48,AIV,Apartment Investment & Management
49,AAPL,Apple Inc.
50,AMAT,Applied Materials Inc.
51,APTV,Aptiv PLC
52,ADM,Archer-Daniels-Midland Co
53,ARNC,Arconic Inc.
54,ANET,Arista Networks
55,AJG,Arthur J. Gallagher & Co.
56,AIZ,Assurant
57,ATO,Atmos Energy Corp
58,ADSK,Autodesk Inc.
59,ADP,Automatic Data Processing
60,AZO,AutoZone Inc
61,AVB,"AvalonBay Communities, Inc."
62,AVY,Avery Dennison Corp
63,BKR,Baker Hughes Co
64,BLL,Ball Corp
65,BAC,Bank of America Corp
66,BK,The Bank of New York Mellon Corp.
67,BAX,Baxter International Inc.
68,BDX,Becton Dickinson
69,BRK.B,Berkshire Hathaway
70,BBY,Best Buy Co. Inc.
71,BIIB,Biogen Inc.
72,BLK,BlackRock
73,BA,Boeing Company
74,BKNG,Booking Holdings Inc
75,BWA,BorgWarner
76,BXP,Boston Properties
77,BSX,Boston Scientific
78,BMY,Bristol-Myers Squibb
79,AVGO,Broadcom Inc.
80,BR,Broadridge Financial Solutions
81,BF.B,Brown-Forman Corp.
82,CHRW,C. H. Robinson Worldwide
83,COG,Cabot Oil & Gas
84,CDNS,Cadence Design Systems
85,CPB,Campbell Soup
86,COF,Capital One Financial
87,CPRI,Capri Holdings
88,CAH,Cardinal Health Inc.
89,KMX,Carmax Inc
90,CCL,Carnival Corp.
91,CAT,Caterpillar Inc.
92,CBOE,Cboe Global Markets
93,CBRE,CBRE Group
94,CDW,CDW
95,CE,Celanese
96,CNC,Centene Corporation
97,CNP,CenterPoint Energy
98,CTL,CenturyLink Inc
99,CERN,Cerner
100,CF,CF Industries Holdings Inc
101,SCHW,Charles Schwab Corporation
102,CHTR,Charter Communications
103,CVX,Chevron Corp.
104,CMG,Chipotle Mexican Grill
105,CB,Chubb Limited
106,CHD,Church & Dwight
107,CI,CIGNA Corp.
108,CINF,Cincinnati Financial
109,CTAS,Cintas Corporation
110,CSCO,Cisco Systems
111,C,Citigroup Inc.
112,CFG,Citizens Financial Group
113,CTXS,Citrix Systems
114,CLX,The Clorox Company
115,CME,CME Group Inc.
116,CMS,CMS Energy
117,KO,Coca-Cola Company
118,CTSH,Cognizant Technology Solutions
119,CL,Colgate-Palmolive
120,CMCSA,Comcast Corp.
121,CMA,Comerica Inc.
122,CAG,Conagra Brands
123,CXO,Concho Resources
124,COP,ConocoPhillips
125,ED,Consolidated Edison
126,STZ,Constellation Brands
127,COO,The Cooper Companies
128,CPRT,Copart Inc
129,GLW,Corning Inc.
130,CTVA,Corteva
131,COST,Costco Wholesale Corp.
132,COTY,"Coty, Inc"
133,CCI,Crown Castle International Corp.
134,CSX,CSX Corp.
135,CMI,Cummins Inc.
136,CVS,CVS Health
137,DHI,D. R. Horton
138,DHR,Danaher Corp.
139,DRI,Darden Restaurants
140,DVA,DaVita Inc.
141,DE,Deere & Co.
142,DAL,Delta Air Lines Inc.
143,XRAY,Dentsply Sirona
144,DVN,Devon Energy
145,FANG,Diamondback Energy
146,DLR,Digital Realty Trust Inc
147,DFS,Discover Financial Services
148,DISCA,Discovery Inc. Class A
149,DISCK,Discovery Inc. Class C
150,DISH,Dish Network
151,DG,Dollar General
152,DLTR,Dollar Tree
153,D,Dominion Energy
154,DOV,Dover Corp.
155,DOW,Dow Inc.
156,DTE,DTE Energy Co.
157,DUK,Duke Energy
158,DRE,Duke Realty Corp
159,DD,DuPont de Nemours Inc
160,DXC,DXC Technology
161,ETFC,E*Trade
162,EMN,Eastman Chemical
163,ETN,Eaton Corporation
164,EBAY,eBay Inc.
165,ECL,Ecolab Inc.
166,EIX,Edison Int'l
167,EW,Edwards Lifesciences
168,EA,Electronic Arts
169,EMR,Emerson Electric Company
170,ETR,Entergy Corp.
171,EOG,EOG Resources
172,EFX,Equifax Inc.
173,EQIX,Equinix
174,EQR,Equity Residential
175,ESS,"Essex Property Trust, Inc."
176,EL,Estée Lauder Companies
177,EVRG,Evergy
178,ES,Eversource Energy
179,RE,Everest Re Group Ltd.
180,EXC,Exelon Corp.
181,EXPE,Expedia Group
182,EXPD,Expeditors
183,EXR,Extra Space Storage
184,XOM,Exxon Mobil Corp.
185,FFIV,F5 Networks
186,FB,"Facebook, Inc."
187,FAST,Fastenal Co
188,FRT,Federal Realty Investment Trust
189,FDX,FedEx Corporation
190,FIS,Fidelity National Information Services
191,FITB,Fifth Third Bancorp
192,FE,FirstEnergy Corp
193,FRC,First Republic Bank
194,FISV,Fiserv Inc
195,FLT,FleetCor Technologies Inc
196,FLIR,FLIR Systems
197,FLS,Flowserve Corporation
198,FMC,FMC Corporation
199,F,Ford Motor Company
200,FTNT,Fortinet
201,FTV,Fortive Corp
202,FBHS,Fortune Brands Home & Security
203,FOXA,Fox Corporation Class A
204,FOX,Fox Corporation Class B
205,BEN,Franklin Resources
206,FCX,Freeport-McMoRan Inc.
207,GPS,Gap Inc.
208,GRMN,Garmin Ltd.
209,IT,Gartner Inc
210,GD,General Dynamics
211,GE,General Electric
212,GIS,General Mills
213,GM,General Motors
214,GPC,Genuine Parts
215,GILD,Gilead Sciences
216,GL,Globe Life Inc.
217,GPN,Global Payments Inc.
218,GS,Goldman Sachs Group
219,GWW,Grainger (W.W.) Inc.
220,HRB,H&R Block
221,HAL,Halliburton Co.
222,HBI,Hanesbrands Inc
223,HOG,Harley-Davidson
224,HIG,Hartford Financial Svc.Gp.
225,HAS,Hasbro Inc.
226,HCA,HCA Healthcare
227,PEAK,Healthpeak Properties
228,HP,Helmerich & Payne
229,HSIC,Henry Schein
230,HSY,The Hershey Company
231,HES,Hess Corporation
232,HPE,Hewlett Packard Enterprise
233,HLT,Hilton Worldwide Holdings Inc
234,HFC,HollyFrontier Corp
235,HOLX,Hologic
236,HD,Home Depot
237,HON,Honeywell Int'l Inc.
238,HRL,Hormel Foods Corp.
239,HST,Host Hotels & Resorts
240,HWM,Howmet Aerospace
241,HPQ,HP Inc.
242,HUM,Humana Inc.
243,HBAN,Huntington Bancshares
244,HII,Huntington Ingalls Industries
245,IEX,IDEX Corporation
246,IDXX,IDEXX Laboratories
247,INFO,IHS Markit Ltd.
248,ITW,Illinois Tool Works
249,ILMN,Illumina Inc
250,INCY,Incyte
251,IR,Ingersoll Rand
252,INTC,Intel Corp.
253,ICE,Intercontinental Exchange
254,IBM,International Business Machines
255,IP,International Paper
256,IPG,Interpublic Group
257,IFF,Intl Flavors & Fragrances
258,INTU,Intuit Inc.
259,ISRG,Intuitive Surgical Inc.
260,IVZ,Invesco Ltd.
261,IPGP,IPG Photonics Corp.
262,IQV,IQVIA Holdings Inc.
263,IRM,Iron Mountain Incorporated
264,JKHY,Jack Henry & Associates
265,J,Jacobs Engineering Group
266,JBHT,J. B. Hunt Transport Services
267,SJM,JM Smucker
268,JNJ,Johnson & Johnson
269,JCI,Johnson Controls International
270,JPM,JPMorgan Chase & Co.
271,JNPR,Juniper Networks
272,KSU,Kansas City Southern
273,K,Kellogg Co.
274,KEY,KeyCorp
275,KEYS,Keysight Technologies
276,KMB,Kimberly-Clark
277,KIM,Kimco Realty
278,KMI,Kinder Morgan
279,KLAC,KLA Corporation
280,KSS,Kohl's Corp.
281,KHC,Kraft Heinz Co
282,KR,Kroger Co.
283,LB,L Brands Inc.
284,LHX,L3Harris Technologies
285,LH,Laboratory Corp. of America Holding
286,LRCX,Lam Research
287,LW,Lamb Weston Holdings Inc
288,LVS,Las Vegas Sands
289,LEG,Leggett & Platt
290,LDOS,Leidos Holdings
291,LEN,Lennar Corp.
292,LLY,Lilly (Eli) & Co.
293,LNC,Lincoln National
294,LIN,Linde plc
295,LYV,Live Nation Entertainment
296,LKQ,LKQ Corporation
297,LMT,Lockheed Martin Corp.
298,L,Loews Corp.
299,LOW,Lowe's Cos.
300,LYB,LyondellBasell
301,MTB,M&T Bank Corp.
302,M,Macy's Inc.
303,MRO,Marathon Oil Corp.
304,MPC,Marathon Petroleum
305,MKTX,MarketAxess
306,MAR,Marriott Int'l.
307,MMC,Marsh & McLennan
