,TICKER,Security
0,MMM,3M Company
1,ABT,Abbott Laboratories
2,ABBV,AbbVie Inc.
3,ABMD,ABIOMED Inc
4,ACN,Accenture plc
5,ATVI,Activision Blizzard
6,ADBE,Adobe Systems Inc
7,AMD,Advanced Micro Devices Inc
8,AAP,Advance Auto Parts
9,AES,AES Corp
10,AET,Aetna Inc
11,AMG,Affiliated Managers Group Inc
12,AFL,AFLAC Inc
13,A,Agilent Technologies Inc
14,APD,Air Products & Chemicals Inc
15,AKAM,Akamai Technologies Inc
16,ALK,Alaska Air Group Inc
17,ALB,Albemarle Corp
18,ARE,Alexandria Real Estate Equities Inc
19,ALXN,Alexion Pharmaceuticals
20,ALGN,Align Technology
21,ALLE,Allegion
22,AGN,"Allergan, Plc"
23,ADS,Alliance Data Systems
24,LNT,Alliant Energy Corp
25,ALL,Allstate Corp
26,GOOGL,Alphabet Inc Class A
27,GOOG,Alphabet Inc Class C
28,MO,Altria Group Inc
29,AMZN,Amazon.com Inc.
30,AEE,Ameren Corp
31,AAL,American Airlines Group
32,AEP,American Electric Power
33,AXP,American Express Co
34,AIG,"American International Group, Inc."
35,AMT,American Tower Corp.
36,AWK,American Water Works Company Inc
37,AMP,Ameriprise Financial
38,ABC,AmerisourceBergen Corp
39,AME,AMETEK Inc.
40,AMGN,Amgen Inc.
41,APH,Amphenol Corp
42,APC,Anadarko Petroleum Corp
43,ADI,"Analog Devices, Inc."
44,ANSS,ANSYS
45,ANTM,Anthem Inc.
46,AON,Aon plc
47,AOS,A.O. Smith Corp
48,APA,Apache Corporation
49,AIV,Apartment Investment & Management (Aimco)
50,AAPL,Apple Inc.
51,AMAT,Applied Materials Inc.
52,APTV,Aptiv Plc
53,ADM,Archer-Daniels-Midland Co
54,ARNC,Arconic Inc.
55,ANET,Arista Networks
56,AJG,Arthur J. Gallagher & Co.
57,AIZ,Assurant Inc.
58,T,AT&T Inc.
59,ADSK,Autodesk Inc.
60,ADP,Automatic Data Processing
61,AZO,AutoZone Inc
62,AVB,"AvalonBay Communities, Inc."
63,AVY,Avery Dennison Corp
64,BHGE,"Baker Hughes, a GE Company"
65,BLL,Ball Corp
66,BAC,Bank of America Corp
67,BK,The Bank of New York Mellon Corp.
68,BAX,Baxter International Inc.
69,BBT,BB&T Corporation
70,BDX,Becton Dickinson
71,BRK.B,Berkshire Hathaway
72,BBY,Best Buy Co. Inc.
73,BIIB,Biogen Inc.
74,BLK,BlackRock
75,HRB,Block H&R
76,BA,Boeing Company
77,BKNG,Booking Holdings Inc
78,BWA,BorgWarner
79,BXP,Boston Properties
80,BSX,Boston Scientific
81,BHF,Brighthouse Financial Inc
82,BMY,Bristol-Myers Squibb
83,AVGO,Broadcom
84,BR,Broadridge Financial Solutions
85,BF.B,Brown-Forman Corp.
86,CHRW,C. H. Robinson Worldwide
87,CA,"CA, Inc."
88,COG,Cabot Oil & Gas
89,CDNS,Cadence Design Systems
90,CPB,Campbell Soup
91,COF,Capital One Financial
92,CAH,Cardinal Health Inc.
93,KMX,Carmax Inc
94,CCL,Carnival Corp.
95,CAT,Caterpillar Inc.
96,CBOE,Cboe Global Markets
97,CBRE,CBRE Group
98,CBS,CBS Corp.
99,CELG,Celgene Corp.
100,CNC,Centene Corporation
101,CNP,CenterPoint Energy
102,CTL,CenturyLink Inc
103,CERN,Cerner
104,CF,CF Industries Holdings Inc
105,SCHW,Charles Schwab Corporation
106,CHTR,Charter Communications
107,CVX,Chevron Corp.
108,CMG,Chipotle Mexican Grill
109,CB,Chubb Limited
110,CHD,Church & Dwight
111,CI,CIGNA Corp.
112,XEC,Cimarex Energy
113,CINF,Cincinnati Financial
114,CTAS,Cintas Corporation
115,CSCO,Cisco Systems
116,C,Citigroup Inc.
117,CFG,Citizens Financial Group
118,CTXS,Citrix Systems
119,CLX,The Clorox Company
120,CME,CME Group Inc.
121,CMS,CMS Energy
122,KO,Coca-Cola Company (The)
123,CTSH,Cognizant Technology Solutions
124,CL,Colgate-Palmolive
125,CMCSA,Comcast Corp.
126,CMA,Comerica Inc.
127,CAG,Conagra Brands
128,CXO,Concho Resources
129,COP,ConocoPhillips
130,ED,Consolidated Edison
131,STZ,Constellation Brands
132,COO,The Cooper Companies
133,CPRT,Copart Inc
134,GLW,Corning Inc.
135,COST,Costco Wholesale Corp.
136,COTY,"Coty, Inc"
137,CCI,Crown Castle International Corp.
138,CSX,CSX Corp.
139,CMI,Cummins Inc.
140,CVS,CVS Health
141,DHI,D. R. Horton
142,DHR,Danaher Corp.
143,DRI,Darden Restaurants
144,DVA,DaVita Inc.
145,DE,Deere & Co.
146,DAL,Delta Air Lines Inc.
147,XRAY,Dentsply Sirona
148,DVN,Devon Energy Corp.
149,DLR,Digital Realty Trust Inc
150,DFS,Discover Financial Services
151,DISCA,Discovery Inc. Class A
152,DISCK,Discovery Inc. Class C
153,DISH,Dish Network
154,DG,Dollar General
155,DLTR,Dollar Tree
156,D,Dominion Energy
157,DOV,Dover Corp.
158,DWDP,DowDuPont
159,DTE,DTE Energy Co.
160,DRE,Duke Realty Corp
161,DUK,Duke Energy
162,DXC,DXC Technology
163,ETFC,E*Trade
164,EMN,Eastman Chemical
165,ETN,Eaton Corporation
166,EBAY,eBay Inc.
167,ECL,Ecolab Inc.
168,EIX,Edison Int'l
169,EW,Edwards Lifesciences
170,EA,Electronic Arts
171,EMR,Emerson Electric Company
172,ETR,Entergy Corp.
173,EVHC,Envision Healthcare
174,EOG,EOG Resources
175,EQT,EQT Corporation
176,EFX,Equifax Inc.
177,EQIX,Equinix
178,EQR,Equity Residential
179,ESS,"Essex Property Trust, Inc."
180,EL,Estee Lauder Cos.
181,EVRG,Evergy
182,ES,Eversource Energy
183,RE,Everest Re Group Ltd.
184,EXC,Exelon Corp.
185,EXPE,Expedia Group
186,EXPD,Expeditors
187,ESRX,Express Scripts
188,EXR,Extra Space Storage
189,XOM,Exxon Mobil Corp.
190,FFIV,F5 Networks
191,FB,"Facebook, Inc."
192,FAST,Fastenal Co
193,FRT,Federal Realty Investment Trust
194,FDX,FedEx Corporation
195,FIS,Fidelity National Information Services
196,FITB,Fifth Third Bancorp
197,FE,FirstEnergy Corp
198,FISV,Fiserv Inc
199,FLT,FleetCor Technologies Inc
200,FLIR,FLIR Systems
201,FLS,Flowserve Corporation
202,FLR,Fluor Corp.
203,FMC,FMC Corporation
204,FL,Foot Locker Inc
205,F,Ford Motor
206,FTV,Fortive Corp
207,FBHS,Fortune Brands Home & Security
208,BEN,Franklin Resources
209,FCX,Freeport-McMoRan Inc.
210,GPS,Gap Inc.
211,GRMN,Garmin Ltd.
212,IT,Gartner Inc
213,GD,General Dynamics
214,GE,General Electric
215,GIS,General Mills
216,GM,General Motors
217,GPC,Genuine Parts
218,GILD,Gilead Sciences
219,GPN,Global Payments Inc.
220,GS,Goldman Sachs Group
221,GT,Goodyear Tire & Rubber
222,GWW,Grainger (W.W.) Inc.
223,HAL,Halliburton Co.
224,HBI,Hanesbrands Inc
225,HOG,Harley-Davidson
226,HRS,Harris Corporation
227,HIG,Hartford Financial Svc.Gp.
228,HAS,Hasbro Inc.
229,HCA,HCA Holdings
230,HCP,HCP Inc.
231,HP,Helmerich & Payne
232,HSIC,Henry Schein
233,HSY,The Hershey Company
234,HES,Hess Corporation
235,HPE,Hewlett Packard Enterprise
236,HLT,Hilton Worldwide Holdings Inc
237,HFC,HollyFrontier Corp
238,HOLX,Hologic
239,HD,Home Depot
240,HON,Honeywell Int'l Inc.
241,HRL,Hormel Foods Corp.
242,HST,Host Hotels & Resorts
243,HPQ,HP Inc.
244,HUM,Humana Inc.
245,HBAN,Huntington Bancshares
246,HII,Huntington Ingalls Industries
247,IDXX,IDEXX Laboratories
248,INFO,IHS Markit Ltd.
249,ITW,Illinois Tool Works
250,ILMN,Illumina Inc
251,IR,Ingersoll-Rand PLC
252,INTC,Intel Corp.
253,ICE,Intercontinental Exchange
254,IBM,International Business Machines
255,INCY,Incyte
256,IP,International Paper
257,IPG,Interpublic Group
258,IFF,Intl Flavors & Fragrances
259,INTU,Intuit Inc.
260,ISRG,Intuitive Surgical Inc.
261,IVZ,Invesco Ltd.
262,IPGP,IPG Photonics Corp.
263,IQV,IQVIA Holdings Inc.
264,IRM,Iron Mountain Incorporated
265,JEC,Jacobs Engineering Group
266,JBHT,J. B. Hunt Transport Services
267,JEF,Jefferies Financial Group
268,SJM,JM Smucker
269,JNJ,Johnson & Johnson
270,JCI,Johnson Controls International
271,JPM,JPMorgan Chase & Co.
272,JNPR,Juniper Networks
273,KSU,Kansas City Southern
274,K,Kellogg Co.
275,KEY,KeyCorp
276,KMB,Kimberly-Clark
277,KIM,Kimco Realty
278,KMI,Kinder Morgan
279,KLAC,KLA-Tencor Corp.
280,KSS,Kohl's Corp.
281,KHC,Kraft Heinz Co
282,KR,Kroger Co.
283,LB,L Brands Inc.
284,LLL,L-3 Communications Holdings
285,LH,Laboratory Corp. of America Holding
286,LRCX,Lam Research
287,LEG,Leggett & Platt
288,LEN,Lennar Corp.
289,LLY,Lilly (Eli) & Co.
290,LNC,Lincoln National
291,LKQ,LKQ Corporation
292,LMT,Lockheed Martin Corp.
293,L,Loews Corp.
294,LOW,Lowe's Cos.
295,LYB,LyondellBasell
296,MTB,M&T Bank Corp.
297,MAC,Macerich
298,M,Macy's Inc.
299,MRO,Marathon Oil Corp.
300,MPC,Marathon Petroleum
301,MAR,Marriott Int'l.
302,MMC,Marsh & McLennan
303,MLM,Martin Marietta Materials
