,TICKER,Security
0,MMM,3M Company
1,ABT,Abbott Laboratories
2,ABBV,AbbVie Inc.
3,ACN,Accenture plc
4,ATVI,Activision Blizzard
5,AYI,Acuity Brands Inc
6,ADBE,Adobe Systems Inc
7,AMD,Advanced Micro Devices Inc
8,AAP,Advance Auto Parts
9,AES,AES Corp
10,AET,Aetna Inc
11,AMG,Affiliated Managers Group Inc
12,AFL,AFLAC Inc
13,A,Agilent Technologies Inc
14,APD,Air Products & Chemicals Inc
15,AKAM,Akamai Technologies Inc
16,ALK,Alaska Air Group Inc
17,ALB,Albemarle Corp
18,ARE,Alexandria Real Estate Equities Inc
19,ALXN,Alexion Pharmaceuticals
20,ALGN,Align Technology
21,ALLE,Allegion
22,AGN,"Allergan, Plc"
23,ADS,Alliance Data Systems
24,LNT,Alliant Energy Corp
25,ALL,Allstate Corp
26,GOOGL,Alphabet Inc Class A
27,GOOG,Alphabet Inc Class C
28,MO,Altria Group Inc
29,AMZN,Amazon.com Inc
30,AEE,Ameren Corp
31,AAL,American Airlines Group
32,AEP,American Electric Power
33,AXP,American Express Co
34,AIG,"American International Group, Inc."
35,AMT,American Tower Corp A
36,AWK,American Water Works Company Inc
37,AMP,Ameriprise Financial
38,ABC,AmerisourceBergen Corp
39,AME,AMETEK Inc
40,AMGN,Amgen Inc
41,APH,Amphenol Corp
42,APC,Anadarko Petroleum Corp
43,ADI,"Analog Devices, Inc."
44,ANSS,ANSYS Inc
45,ANTM,Anthem Inc.
46,AON,Aon plc
47,APA,Apache Corporation
48,AIV,Apartment Investment & Management
49,AAPL,Apple Inc.
50,AMAT,Applied Materials Inc
51,ADM,Archer-Daniels-Midland Co
52,ARNC,Arconic Inc
53,AJG,Arthur J. Gallagher & Co.
54,AIZ,Assurant Inc
55,T,AT&T Inc
56,ADSK,Autodesk Inc
57,ADP,Automatic Data Processing
58,AN,AutoNation Inc
59,AZO,AutoZone Inc
60,AVB,"AvalonBay Communities, Inc."
61,AVY,Avery Dennison Corp
62,BHGE,Baker Hughes Inc
63,BLL,Ball Corp
64,BAC,Bank of America Corp
65,BK,The Bank of New York Mellon Corp.
66,BCR,Bard (C.R.) Inc.
67,BAX,Baxter International Inc.
68,BBT,BB&T Corporation
69,BDX,Becton Dickinson
70,BBBY,Bed Bath & Beyond
71,BRK.B,Berkshire Hathaway
72,BBY,Best Buy Co. Inc.
73,BIIB,Biogen Inc.
74,BLK,BlackRock
75,HRB,Block H&R
76,BA,Boeing Company
77,BWA,BorgWarner
78,BXP,Boston Properties
79,BSX,Boston Scientific
80,BMY,Bristol-Myers Squibb
81,AVGO,Broadcom
82,BF.B,Brown-Forman Corp.
83,CHRW,C. H. Robinson Worldwide
84,CA,"CA, Inc."
85,COG,Cabot Oil & Gas
86,CPB,Campbell Soup
87,COF,Capital One Financial
88,CAH,Cardinal Health Inc.
89,CBOE,CBOE Holdings
90,KMX,Carmax Inc
91,CCL,Carnival Corp.
92,CAT,Caterpillar Inc.
93,CBG,CBRE Group
94,CBS,CBS Corp.
95,CELG,Celgene Corp.
96,CNC,Centene Corporation
97,CNP,CenterPoint Energy
98,CTL,CenturyLink Inc
99,CERN,Cerner
100,CF,CF Industries Holdings Inc
101,SCHW,Charles Schwab Corporation
102,CHTR,Charter Communications
103,CHK,Chesapeake Energy
104,CVX,Chevron Corp.
105,CMG,Chipotle Mexican Grill
106,CB,Chubb Limited
107,CHD,Church & Dwight
108,CI,CIGNA Corp.
109,XEC,Cimarex Energy
110,CINF,Cincinnati Financial
111,CTAS,Cintas Corporation
112,CSCO,Cisco Systems
113,C,Citigroup Inc.
114,CFG,Citizens Financial Group
115,CTXS,Citrix Systems
116,CLX,The Clorox Company
117,CME,CME Group Inc.
118,CMS,CMS Energy
119,COH,Coach Inc.
120,KO,Coca-Cola Company (The)
121,CTSH,Cognizant Technology Solutions
122,CL,Colgate-Palmolive
123,CMCSA,Comcast Corp.
124,CMA,Comerica Inc.
125,CAG,Conagra Brands
126,CXO,Concho Resources
127,COP,ConocoPhillips
128,ED,Consolidated Edison
129,STZ,Constellation Brands
130,COO,The Cooper Companies
131,GLW,Corning Inc.
132,COST,Costco Wholesale Corp.
133,COTY,"Coty, Inc"
134,CCI,Crown Castle International Corp.
135,CSRA,CSRA Inc.
136,CSX,CSX Corp.
137,CMI,Cummins Inc.
138,CVS,CVS Health
139,DHI,D. R. Horton
140,DHR,Danaher Corp.
141,DRI,Darden Restaurants
142,DVA,DaVita Inc.
143,DE,Deere & Co.
144,DLPH,Delphi Automotive PLC
145,DAL,Delta Air Lines Inc.
146,XRAY,Dentsply Sirona
147,DVN,Devon Energy Corp.
148,DLR,Digital Realty Trust Inc
149,DFS,Discover Financial Services
150,DISCA,Discovery Communications-A
151,DISCK,Discovery Communications-C
152,DISH,Dish Network
153,DG,Dollar General
154,DLTR,Dollar Tree
155,D,Dominion Resources
156,DOV,Dover Corp.
157,DOW,Dow Chemical
158,DPS,Dr Pepper Snapple Group
159,DTE,DTE Energy Co.
160,DD,Du Pont (E.I.)
161,DUK,Duke Energy
162,DXC,DXC Technology
163,ETFC,E*Trade
164,EMN,Eastman Chemical
165,ETN,Eaton Corporation
166,EBAY,eBay Inc.
167,ECL,Ecolab Inc.
168,EIX,Edison Int'l
169,EW,Edwards Lifesciences
170,EA,Electronic Arts
171,EMR,Emerson Electric Company
172,ETR,Entergy Corp.
173,EVHC,Envision Healthcare
174,EOG,EOG Resources
175,EQT,EQT Corporation
176,EFX,Equifax Inc.
177,EQIX,Equinix
178,EQR,Equity Residential
179,ESS,"Essex Property Trust, Inc."
180,EL,Estee Lauder Cos.
181,ES,Eversource Energy
182,RE,Everest Re Group Ltd
183,EXC,Exelon Corp.
184,EXPE,Expedia Inc.
185,EXPD,Expeditors International
186,ESRX,Express Scripts
187,EXR,Extra Space Storage
188,XOM,Exxon Mobil Corp.
189,FFIV,F5 Networks
190,FB,"Facebook, Inc."
191,FAST,Fastenal Co
192,FRT,Federal Realty Investment Trust
193,FDX,FedEx Corporation
194,FIS,Fidelity National Information Services
195,FITB,Fifth Third Bancorp
196,FE,FirstEnergy Corp
197,FISV,Fiserv Inc
198,FLIR,FLIR Systems
199,FLS,Flowserve Corporation
200,FLR,Fluor Corp.
201,FMC,FMC Corporation
202,FL,Foot Locker Inc
203,F,Ford Motor
204,FTV,Fortive Corp
205,FBHS,Fortune Brands Home & Security
206,BEN,Franklin Resources
207,FCX,Freeport-McMoRan Inc.
208,GPS,Gap Inc.
209,GRMN,Garmin Ltd.
210,IT,Gartner Inc
211,GD,General Dynamics
212,GE,General Electric
213,GGP,General Growth Properties Inc.
214,GIS,General Mills
215,GM,General Motors
216,GPC,Genuine Parts
217,GILD,Gilead Sciences
218,GPN,Global Payments Inc
219,GS,Goldman Sachs Group
220,GT,Goodyear Tire & Rubber
221,GWW,Grainger (W.W.) Inc.
222,HAL,Halliburton Co.
223,HBI,Hanesbrands Inc
224,HOG,Harley-Davidson
225,HRS,Harris Corporation
226,HIG,Hartford Financial Svc.Gp.
227,HAS,Hasbro Inc.
228,HCA,HCA Holdings
229,HCP,HCP Inc.
230,HP,Helmerich & Payne
231,HSIC,Henry Schein
232,HSY,The Hershey Company
233,HES,Hess Corporation
234,HPE,Hewlett Packard Enterprise
235,HLT,Hilton Worldwide Holdings Inc
236,HOLX,Hologic
237,HD,Home Depot
238,HON,Honeywell Int'l Inc.
239,HRL,Hormel Foods Corp.
240,HST,Host Hotels & Resorts
241,HPQ,HP Inc.
242,HUM,Humana Inc.
243,HBAN,Huntington Bancshares
244,IDXX,IDEXX Laboratories
245,INFO,IHS Markit Ltd.
246,ITW,Illinois Tool Works
247,ILMN,Illumina Inc
248,IR,Ingersoll-Rand PLC
249,INTC,Intel Corp.
250,ICE,Intercontinental Exchange
251,IBM,International Business Machines
252,INCY,Incyte
253,IP,International Paper
254,IPG,Interpublic Group
255,IFF,Intl Flavors & Fragrances
256,INTU,Intuit Inc.
257,ISRG,Intuitive Surgical Inc.
258,IVZ,Invesco Ltd.
259,IRM,Iron Mountain Incorporated
260,JEC,Jacobs Engineering Group
261,JBHT,J. B. Hunt Transport Services
262,SJM,JM Smucker
263,JNJ,Johnson & Johnson
264,JCI,Johnson Controls International
265,JPM,JPMorgan Chase & Co.
266,JNPR,Juniper Networks
267,KSU,Kansas City Southern
268,K,Kellogg Co.
269,KEY,KeyCorp
270,KMB,Kimberly-Clark
271,KIM,Kimco Realty
272,KMI,Kinder Morgan
273,KLAC,KLA-Tencor Corp.
274,KSS,Kohl's Corp.
275,KHC,Kraft Heinz Co
276,KR,Kroger Co.
277,LB,L Brands Inc.
278,LLL,L-3 Communications Holdings
279,LH,Laboratory Corp. of America Holding
280,LRCX,Lam Research
281,LEG,Leggett & Platt
282,LEN,Lennar Corp.
283,LVLT,Level 3 Communications
284,LUK,Leucadia National Corp.
285,LLY,Lilly (Eli) & Co.
286,LNC,Lincoln National
287,LKQ,LKQ Corporation
288,LMT,Lockheed Martin Corp.
289,L,Loews Corp.
290,LOW,Lowe's Cos.
291,LYB,LyondellBasell
292,MTB,M&T Bank Corp.
293,MAC,Macerich
294,M,Macy's Inc.
295,MNK,Mallinckrodt Plc
296,MRO,Marathon Oil Corp.
297,MPC,Marathon Petroleum
298,MAR,Marriott Int'l.
299,MMC,Marsh & McLennan
300,MLM,Martin Marietta Materials
301,MAS,Masco Corp.
302,MA,Mastercard Inc.
303,MAT,Mattel Inc.
304,MKC,McCormick & Co.
305,MCD,McDonald's Corp.
