,TICKER,Company
0,MMM,3M Co
1,ACE,ACE Limited
2,ABT,Abbott Laboratories
3,ANF,Abercrombie & Fitch Company A
4,ADBE,Adobe Systems Inc
5,AMD,Advanced Micro Devices
6,AES,AES Corp
7,AET,Aetna Inc
8,AFL,AFLAC Inc
9,A,Agilent Technologies Inc
10,APD,Air Products & Chemicals Inc
11,ARG,Airgas Inc
12,AKS,AK Steel Hldg Corp
13,AKAM,Akamai Technologies Inc
14,AA,Alcoa Inc
15,ATI,Allegheny Technologies Inc
16,AGN,Allergan Inc
17,ALL,Allstate Corp
18,ALTR,Altera Corp
19,MO,Altria Group Inc
20,AMZN,Amazon.com Inc
21,AEE,Ameren Corp
22,AEP,American Electric Power
23,AXP,American Express Co
24,AIG,American Intl Group Inc
25,AMT,American Tower Corp A
26,AMP,Ameriprise Financial
27,ABC,AmerisourceBergen Corp
28,AMGN,Amgen Inc
29,APH,Amphenol Corp A
30,APC,Anadarko Petroleum Corp
31,ADI,Analog Devices Inc
32,AON,Aon Corporation
33,APA,Apache Corporation
34,AIV,Apartment Investment & Mgmt
35,APOL,Apollo Group Inc
36,AAPL,Apple Inc.
37,AMAT,Applied Materials Inc
38,ADM,Archer-Daniels-Midland Co
39,AIZ,Assurant Inc
40,T,AT&T Inc
41,ADSK,Autodesk Inc
42,ADP,Automatic Data Processing
43,AN,AutoNation Inc
44,AZO,AutoZone Inc
45,AVB,AvalonBay Communities Inc
46,AVY,Avery Dennison Corp
47,AVP,Avon Products
48,BHI,Baker Hughes Inc
49,BLL,Ball Corp
50,BAC,Bank of America Corp
51,BK,The Bank of New York Mellon Corp.
52,BCR,Bard (C.R.) Inc.
53,BAX,Baxter International Inc.
54,BBT,BB&T Corporation
55,BDX,Becton Dickinson
56,BBBY,Bed Bath & Beyond
57,BMS,Bemis Company
58,BRKB,Berkshire Hathaway
59,BBY,Best Buy Co. Inc.
60,BIG,Big Lots Inc.
61,BIIB,BIOGEN IDEC Inc.
62,BLK,Blackrock
63,HRB,Block H&R
64,BMC,BMC Software
65,BA,Boeing Company
66,BXP,Boston Properties
67,BSX,Boston Scientific
68,BMY,Bristol-Myers Squibb
69,BRCM,Broadcom Corporation
70,BFB,Brown-Forman Corporation
71,CHRW,C. H. Robinson Worldwide
72,CA,"CA, Inc."
73,CVC,Cablevision Systems Corp.
74,COG,Cabot Oil & Gas
75,CAM,Cameron International Corp.
76,CPB,Campbell Soup
77,COF,Capital One Financial
78,CAH,Cardinal Health Inc.
79,CFN,Carefusion
80,KMX,Carmax Inc
81,CCL,Carnival Corp.
82,CAT,Caterpillar Inc.
83,CBG,CB Richard Ellis Group
84,CBS,CBS Corp.
85,CELG,Celgene Corp.
86,CNP,CenterPoint Energy
87,CTL,CenturyTel Inc
88,CEPH,Cephalon Inc
89,CERN,Cerner
90,CF,CF Industries Holdings Inc
91,SCHW,Charles Schwab
92,CHK,Chesapeake Energy
93,CVX,Chevron Corp.
94,CB,Chubb Corp.
95,CI,CIGNA Corp.
96,CINF,Cincinnati Financial
97,CTAS,Cintas Corporation
98,CSCO,Cisco Systems
99,C,Citigroup Inc.
100,CTXS,Citrix Systems
101,CLF,Cliffs Natural Resources
102,CLX,Clorox Co.
103,CME,CME Group Inc.
104,CMS,CMS Energy
105,COH,Coach Inc.
106,KO,Coca Cola Co.
107,CCE,Coca-Cola Enterprises
108,CTSH,Cognizant Technology Solutions
109,CL,Colgate-Palmolive
110,CMCSA,Comcast Corp.
111,CMA,Comerica Inc.
112,CSC,Computer Sciences Corp.
113,CPWR,Compuware Corp.
114,CAG,ConAgra Foods Inc.
115,COP,ConocoPhillips
116,CNX,CONSOL Energy Inc.
117,ED,Consolidated Edison
118,STZ,Constellation Brands
119,CEG,Constellation Energy Group
120,GLW,Corning Inc.
121,COST,Costco Co.
122,CVH,Coventry Health Care Inc.
123,COV,Covidien plc
124,CSX,CSX Corp.
125,CMI,Cummins Inc.
126,CVS,CVS Caremark Corp.
127,DHI,D. R. Horton
128,DHR,Danaher Corp.
129,DRI,Darden Restaurants
130,DVA,DaVita Inc.
131,DF,Dean Foods
132,DE,Deere & Co.
133,DELL,Dell Inc.
134,DNR,Denbury Resources Inc.
135,XRAY,Dentsply International
136,DVN,Devon Energy Corp.
137,DV,"DeVry, Inc."
138,DO,Diamond Offshore Drilling
139,DTV,DirecTV
140,DFS,Discover Financial Services
141,DISCA,Discovery Communications
142,D,Dominion Resources
143,RRD,Donnelley (R.R.) & Sons
144,DOV,Dover Corp.
145,DOW,Dow Chemical
146,DPS,Dr Pepper Snapple Group
147,DTE,DTE Energy Co.
148,DD,Du Pont (E.I.)
149,DUK,Duke Energy
150,DNB,Dun & Bradstreet
151,ETFC,E-Trade
152,EMN,Eastman Chemical
153,ETN,Eaton Corp.
154,EBAY,eBay Inc.
155,ECL,Ecolab Inc.
156,EIX,Edison Int'l
157,EW,Edwards Lifesciences
158,EP,El Paso Corp.
159,ERTS,Electronic Arts
160,EMC,EMC Corp.
161,EMR,Emerson Electric
162,ETR,Entergy Corp.
163,EOG,EOG Resources
