,TICKER,Security
0,MMM,3M Company
1,ABT,Abbott Laboratories
2,ABBV,AbbVie
3,ACN,Accenture plc
4,ACE,ACE Limited
5,ATVI,Activision Blizzard
6,ADBE,Adobe Systems Inc
7,ADT,ADT Corp
8,AAP,Advance Auto Parts
9,AES,AES Corp
10,AET,Aetna Inc
11,AFL,AFLAC Inc
12,AMG,Affiliated Managers Group Inc
13,A,Agilent Technologies Inc
14,GAS,AGL Resources Inc.
15,APD,Air Products & Chemicals Inc
16,ARG,Airgas Inc
17,AKAM,Akamai Technologies Inc
18,AA,Alcoa Inc
19,AGN,Allergan plc
20,ALXN,Alexion Pharmaceuticals
21,ALLE,Allegion
22,ADS,Alliance Data Systems
23,ALL,Allstate Corp
24,ALTR,Altera Corp
25,MO,Altria Group Inc
26,AMZN,Amazon.com Inc
27,AEE,Ameren Corp
28,AAL,American Airlines Group
29,AEP,American Electric Power
30,AXP,American Express Co
31,AIG,"American International Group, Inc."
32,AMT,American Tower Corp A
33,AMP,Ameriprise Financial
34,ABC,AmerisourceBergen Corp
35,AME,Ametek
36,AMGN,Amgen Inc
37,APH,Amphenol Corp A
38,APC,Anadarko Petroleum Corp
39,ADI,"Analog Devices, Inc."
40,AON,Aon plc
41,APA,Apache Corporation
42,AIV,Apartment Investment & Mgmt
43,AAPL,Apple Inc.
44,AMAT,Applied Materials Inc
45,ADM,Archer-Daniels-Midland Co
46,AIZ,Assurant Inc
47,T,AT&T Inc
48,ADSK,Autodesk Inc
49,ADP,Automatic Data Processing
50,AN,AutoNation Inc
51,AZO,AutoZone Inc
52,AVGO,Avago Technologies
53,AVB,"AvalonBay Communities, Inc."
54,AVY,Avery Dennison Corp
55,BHI,Baker Hughes Inc
56,BLL,Ball Corp
57,BAC,Bank of America Corp
58,BK,The Bank of New York Mellon Corp.
59,BCR,Bard (C.R.) Inc.
60,BXLT,Baxalta
61,BAX,Baxter International Inc.
62,BBT,BB&T Corporation
63,BDX,Becton Dickinson
64,BBBY,Bed Bath & Beyond
65,BRK-B,Berkshire Hathaway
66,BBY,Best Buy Co. Inc.
67,BIIB,BIOGEN IDEC Inc.
68,BLK,BlackRock
69,HRB,Block H&R
70,BA,Boeing Company
71,BWA,BorgWarner
72,BXP,Boston Properties
73,BSX,Boston Scientific
74,BMY,Bristol-Myers Squibb
75,BRCM,Broadcom Corporation
76,BF-B,Brown-Forman Corporation
77,CHRW,C. H. Robinson Worldwide
78,CA,"CA, Inc."
79,CVC,Cablevision Systems Corp.
80,COG,Cabot Oil & Gas
81,CAM,Cameron International Corp.
82,CPB,Campbell Soup
83,COF,Capital One Financial
84,CAH,Cardinal Health Inc.
85,HSIC,Henry Schein
86,KMX,Carmax Inc
87,CCL,Carnival Corp.
88,CAT,Caterpillar Inc.
89,CBG,CBRE Group
90,CBS,CBS Corp.
91,CELG,Celgene Corp.
92,CNP,CenterPoint Energy
93,CTL,CenturyLink Inc
94,CERN,Cerner
95,CF,CF Industries Holdings Inc
96,SCHW,Charles Schwab Corporation
97,CHK,Chesapeake Energy
98,CVX,Chevron Corp.
99,CMG,Chipotle Mexican Grill
100,CB,Chubb Corp.
101,CI,CIGNA Corp.
102,XEC,Cimarex Energy
103,CINF,Cincinnati Financial
104,CTAS,Cintas Corporation
105,CSCO,Cisco Systems
106,C,Citigroup Inc.
107,CTXS,Citrix Systems
108,CLX,The Clorox Company
109,CME,CME Group Inc.
110,CMS,CMS Energy
111,COH,Coach Inc.
112,KO,The Coca Cola Company
113,CCE,Coca-Cola Enterprises
114,CTSH,Cognizant Technology Solutions
115,CL,Colgate-Palmolive
116,CPGX,Columbia Pipeline Group Inc
117,CMCSA,Comcast A Corp
118,CMCSK,Comcast Special Corp Class A
119,CMA,Comerica Inc.
120,CSC,Computer Sciences Corp.
121,CAG,ConAgra Foods Inc.
122,COP,ConocoPhillips
123,CNX,CONSOL Energy Inc.
124,ED,Consolidated Edison
125,STZ,Constellation Brands
126,GLW,Corning Inc.
127,COST,Costco Co.
128,CCI,Crown Castle International Corp.
129,CSX,CSX Corp.
130,CMI,Cummins Inc.
131,CVS,CVS Caremark Corp.
132,DHI,D. R. Horton
133,DHR,Danaher Corp.
134,DRI,Darden Restaurants
135,DVA,DaVita Inc.
136,DE,Deere & Co.
137,DLPH,Delphi Automotive
138,DAL,Delta Air Lines
139,XRAY,Dentsply International
140,DVN,Devon Energy Corp.
141,DO,Diamond Offshore Drilling
142,DFS,Discover Financial Services
143,DISCA,Discovery Communications-A
144,DISCK,Discovery Communications-C
145,DG,Dollar General
146,DLTR,Dollar Tree
147,D,Dominion Resources
148,DOV,Dover Corp.
149,DOW,Dow Chemical
150,DPS,Dr Pepper Snapple Group
151,DTE,DTE Energy Co.
152,DD,Du Pont (E.I.)
153,DUK,Duke Energy
154,DNB,Dun & Bradstreet
155,ETFC,E*Trade
156,EMN,Eastman Chemical
157,ETN,Eaton Corporation
158,EBAY,eBay Inc.
159,ECL,Ecolab Inc.
160,EIX,Edison Int'l
161,EW,Edwards Lifesciences
162,EA,Electronic Arts
163,EMC,EMC Corp.
164,EMR,Emerson Electric Company
165,ENDP,Endo International
166,ESV,Ensco plc
167,ETR,Entergy Corp.
168,EOG,EOG Resources
169,EQT,EQT Corporation
170,EFX,Equifax Inc.
171,EQIX,Equinix
172,EQR,Equity Residential
173,ESS,Essex Property Trust Inc
174,EL,Estee Lauder Cos.
175,ES,Eversource Energy
176,EXC,Exelon Corp.
177,EXPE,Expedia Inc.
178,EXPD,Expeditors Int'l
179,ESRX,Express Scripts
180,XOM,Exxon Mobil Corp.
181,FFIV,F5 Networks
182,FB,Facebook
183,FAST,Fastenal Co
184,FDX,FedEx Corporation
185,FIS,Fidelity National Information Services
186,FITB,Fifth Third Bancorp
187,FSLR,First Solar Inc
188,FE,FirstEnergy Corp
189,FISV,Fiserv Inc
190,FLIR,FLIR Systems
191,FLS,Flowserve Corporation
192,FLR,Fluor Corp.
193,FMC,FMC Corporation
194,FTI,FMC Technologies Inc.
195,F,Ford Motor
196,FOSL,"Fossil, Inc."
197,BEN,Franklin Resources
198,FCX,Freeport-McMoran Cp & Gld
199,FTR,Frontier Communications
200,GME,GameStop Corp.
201,GPS,Gap (The)
202,GRMN,Garmin Ltd.
203,GD,General Dynamics
204,GE,General Electric
205,GGP,General Growth Properties Inc.
206,GIS,General Mills
207,GM,General Motors
208,GPC,Genuine Parts
209,GNW,Genworth Financial Inc.
210,GILD,Gilead Sciences
211,GS,Goldman Sachs Group
212,GT,Goodyear Tire & Rubber
213,GOOGL,Google Inc Class A
214,GOOG,Google Inc Class C
215,GWW,Grainger (W.W.) Inc.
216,HAL,Halliburton Co.
217,HBI,Hanesbrands Inc
218,HOG,Harley-Davidson
219,HAR,Harman Int'l Industries
220,HRS,Harris Corporation
221,HIG,Hartford Financial Svc.Gp.
222,HAS,Hasbro Inc.
223,HCA,HCA Holdings
224,HCP,HCP Inc.
225,HCN,"Health Care REIT, Inc."
226,HP,Helmerich & Payne
227,HES,Hess Corporation
228,HPQ,Hewlett-Packard
229,HD,Home Depot
230,HON,Honeywell Int'l Inc.
231,HRL,Hormel Foods Corp.
232,HST,Host Hotels & Resorts
233,HCBK,Hudson City Bancorp
234,HUM,Humana Inc.
235,HBAN,Huntington Bancshares
236,ITW,Illinois Tool Works
237,IR,Ingersoll-Rand PLC
238,INTC,Intel Corp.
239,ICE,Intercontinental Exchange
240,IBM,International Bus. Machines
241,IP,International Paper
242,IPG,Interpublic Group
243,IFF,Intl Flavors & Fragrances
244,INTU,Intuit Inc.
245,ISRG,Intuitive Surgical Inc.
246,IVZ,Invesco Ltd.
247,IRM,Iron Mountain Incorporated
248,JEC,Jacobs Engineering Group
249,JBHT,J. B. Hunt Transport Services
250,JNJ,Johnson & Johnson
251,JCI,Johnson Controls
252,JPM,JPMorgan Chase & Co.
253,JNPR,Juniper Networks
254,KSU,Kansas City Southern
255,K,Kellogg Co.
256,KEY,KeyCorp
257,GMCR,Keurig Green Mountain
258,KMB,Kimberly-Clark
259,KIM,Kimco Realty
260,KMI,Kinder Morgan
261,KLAC,KLA-Tencor Corp.
262,KSS,Kohl's Corp.
263,KHC,Kraft Heinz Co
264,KR,Kroger Co.
265,LB,L Brands Inc.
266,LLL,L-3 Communications Holdings
267,LH,Laboratory Corp. of America Holding
268,LRCX,Lam Research
269,LM,Legg Mason
270,LEG,Leggett & Platt
271,LEN,Lennar Corp.
272,LVLT,Level 3 Communications
273,LUK,Leucadia National Corp.
274,LLY,Lilly (Eli) & Co.
275,LNC,Lincoln National
276,LLTC,Linear Technology Corp.
277,LMT,Lockheed Martin Corp.
278,L,Loews Corp.
279,LOW,Lowe's Cos.
280,LYB,LyondellBasell
281,MTB,M&T Bank Corp.
282,MAC,Macerich
283,M,Macy's Inc.
284,MNK,Mallinckrodt Plc
285,MRO,Marathon Oil Corp.
286,MPC,Marathon Petroleum
287,MAR,Marriott Int'l.
288,MMC,Marsh & McLennan
289,MLM,Martin Marietta Materials
290,MAS,Masco Corp.
291,MA,Mastercard Inc.
292,MAT,Mattel Inc.
293,MKC,McCormick & Co.
294,MCD,McDonald's Corp.
295,MHFI,McGraw Hill Financial
296,MCK,McKesson Corp.
297,MJN,Mead Johnson
298,WRK,Westrock Co
299,MDT,Medtronic plc
300,MRK,Merck & Co.
301,MET,MetLife Inc.
302,KORS,Michael Kors Holdings
303,MCHP,Microchip Technology
304,MU,Micron Technology
305,MSFT,Microsoft Corp.
306,MHK,Mohawk Industries
